image_path,name,description
/content/drive/MyDrive/project/images/art_music_images/کامشاد_کوشان_0_0.jpg,کامشاد کوشان,کامشاد کوشان، متولد 28 قوس 1341 در تهران، کارگردان، نویسنده، مترجم و بازیگر ایرانی است که از دهه 1370 فعالیت خود را آغاز کرده است. او در زمینه‌های مختلف هنری از جمله کارگردانی مجموعه تلویزیونی «بدون شرح» در سال 1381، فیلم‌های سینمایی «راز بهشت» در سال 1380، «برادرم خسرو» در سال 1394، «برگ‌ریزان» در سال 1393، «نارنجی‌پوش» در سال 1390 و «من و دبورا» در سال 1385 فعالیت داشته است. همچنین، کوشان در ساخت فیلم کوتاه «آخرین خیال» در سال 1373، تله‌تئاتر «شاپرک خانوم» در سال 1377 و آثار مستند / تجربی مانند «حلقه» در سال 1374 و «در جستجوی واقعیت» در سال 1372 نقش داشته است. او در سال 1375 با نمایش فیلم «آخرین خیال» در تور 14 شهر جشنواره بین‌المللی فیلم‌های کوتاه ایرانی در آمریکای شمالی شرکت کرد. کوشان همچنین برای فیلم‌نامه «راز بهشت» کاندید مرحله نیمه‌نهایی آزمایشگاه فیلم ساندنس شد و فیلم سینمایی «راز بهشت» در جشنواره بین‌المللی فیلم قاهره به عنوان یکی از 10 فیلم برگزیده از کشور آمریکا انتخاب شد.
/content/drive/MyDrive/project/images/art_music_images/ایران_دفتری_1_0.jpg,ایران دفتری,ایران دفتری، متولد سال 1286 در رشت، بازیگر سینما و تئاتر ایرانی بود که در دوران 1310 تا 1350 فعالیت می‌کرد. او در فیلم‌های متعددی از جمله «شیربها»، «گذر اکبر»، «نانجیب»، «ایوب»، «جان‌سخت»، «قلاب»، «کلبه‌ای آن‌سوی رودخانه» و «مردان سحر» در سال‌های 1350 و 1351، «سکه شانس» و «قهرمانان» در سال 1349، «قیصر» و «ببر مازندران» در سال‌های 1347 و 1348، و آثاری قدیمی‌تر مانند «شیرین و فرهاد» در سال 1313 نقش‌آفرینی کرد. دفتری همچنین در نمایش‌هایی چون «آرشین مالالان»، «آخرین لحظه»، «آغا محمدخان قاجار» و «بلبل سرگشته» حضور داشت. او در سال 1348 برای بازی در فیلم «قیصر» جایزه نقش دوم زن را از جشنواره سپاس دریافت کرد. رخشان بنی‌اعتماد مستندی با عنوان «آخرین دیدار با ایران دفتری» درباره او ساخت. ایران دفتری در 2 قوس 1374 در تهران درگذشت.
/content/drive/MyDrive/project/images/art_music_images/چکامه_چمن‌ماه_2_0.jpg,چکامه چمن‌ماه,چکامه چمن‌ماه، متولد 23 عقرب 1359 در شیراز، بازیگر و مجری ایرانی است که از سال 1377 فعالیت خود را آغاز کرده است. او در فیلم‌هایی مانند «آن آواز غمناک» و «اعترافات ذهن خطرناک من» در سال 1393، «گهواره‌ای برای مادر» و «خیابان یک‌طرفه» در سال 1391، «سایه‌ها» و «پایان‌نامه» در سال 1389، «حریم» در سال 1387، «دوشیزه باران» و «محافظ» در سال 1386، و «بودن یا نبودن» و «شهر زنان» در سال 1377 نقش‌آفرینی کرده است. چمن‌ماه همچنین در مجموعه‌های تلویزیونی مانند «آسمان من» در سال 1391، «راز شیوا» در سال 1382، «پرواز در حباب» در سال 1385، و «جاده قدیم» در سال 1394 حضور داشته و در تله‌فیلم‌هایی چون «خاطرات فردا» در سال 1387 و «فرجام» بازی کرده است.
/content/drive/MyDrive/project/images/art_music_images/عباس_غزالی_3_0.jpg,عباس غزالی,عباس غزالی، متولد 14 دلو 1363 در تهران، بازیگر و کارگردان ایرانی است که از دهه 1370 فعالیت خود را آغاز کرده است. او در فیلم‌هایی مانند «آبستن» در سال 1403، «زمانی در ابدیت» در سال 1401، «لواسان» در سال 1397، «پری‌سا» و «من یوسفم، مادر» در سال 1396، و «اعترافات ذهن خطرناک من» در سال 1393 نقش‌آفرینی کرده است. غزالی همچنین در سریال‌هایی مانند «وضعیت سفید» در سال 1387، «رستگاران» در سال 1388، «مادرانه» در سال 1392، و «مینو» در سال 1397 حضور داشته و در تله‌فیلم‌هایی چون «ابی سی‌دی» در سال 1382 و «حرف مردم» در سال 1390 بازی کرده است. او به عنوان مجری در برنامه‌هایی مانند «مثبت عشق» در سال 1383 و «بوم سفید» در سال 1385 فعالیت کرده و برای نمایش‌های «مقصران بی‌گناه» در سال 1374، «خنجر» در سال 1378، و «زیر باران آهنی» در سال 1379 جوایز بازیگری از جشنواره‌های استانی و دفاع مقدس دریافت کرده است.
/content/drive/MyDrive/project/images/art_music_images/پیام_نادری_دهکردی_4_0.jpg,پیام نادری دهکردی,پیام نادری دهکردی، متولد 20 حوت 1351 در شهرکرد، بازیگر، کارگردان و نانوا ایرانی است که از دهه 1370 فعالیت خود را آغاز کرده است. او در فیلم‌های سینمایی مانند «بی‌صدا» در سال 1395، «تگرگ و آفتاب» و «دلم می‌خواد» در سال 1393، «بی خداحافظی» در سال 1390، «راه آبی ابریشم» در سال 1389، و «یک بوس کوچولو» در سال 1383 نقش‌آفرینی کرده است. نادری همچنین در مجموعه‌های تلویزیونی مانند «شهریار» و «مدار صفر درجه» در سال 1386، «گاوصندوق» در سال 1388، «گاندو» در سال 1388، و «افرا» در سال 1400 حضور داشته و در مجموعه‌های نمایش خانگی مانند «خاتون» و «سرگیجه» در سال‌های 1400 و 1401 بازی کرده است. او برای تئاتر «می‌بوسمت و اشکوتیغ کهنه» جایزه بهترین بازیگر را از بیست و دومین جشنواره تئاتر فجر، و در سال 1383 جایزه فعال‌ترین بازیگر تئاتر را در روز جهانی تئاتر دریافت کرد.
/content/drive/MyDrive/project/images/art_music_images/فریبرز_عرب‌نیا_5_0.jpg,فریبرز عرب‌نیا,فریبرز عرب‌نیا، متولد 25 فروردین 1343 در تهران، بازیگر از دهه 1370 است. او در فیلم‌هایی چون «سلطان» (1375)، «شوکران» (1377) و مجموعه‌های تلویزیونی مانند «مختارنامه» (1383) بازی کرده است.
/content/drive/MyDrive/project/images/art_music_images/مریلا_زارعی_6_0.jpg,مریلا زارعی,مریلا زارعی، متولد 25 فروردین 1353 در تهران، بازیگر ایرانی است که از سال 1374 فعالیت خود را آغاز کرد. او در فیلم‌هایی مانند «دو زن» (1377)، «واکنش پنجم» (1381)، «سربازهای جمعه» (1382)، «درباره الی» (1387)، «جدایی نادر از سیمین» (1389)، «کیفر» (1388)، «خرس» (1390)، «هیس! دخترها فریاد نمی‌زنند» (1392)، «شیار 143» (1393)، «زیر سقف دودی» (1395) و «مانک» (1398) نقش‌آفرینی کرده است. زارعی در مجموعه‌های تلویزیونی مانند «پلیس جوان» (1380) و مجموعه نمایش خانگی «مانکن» (1398) حضور داشته و موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول زن از جشنواره فیلم فجر برای فیلم «شیار 143» (1393) شده است.
/content/drive/MyDrive/project/images/art_music_images/هومن_سیدی_7_0.jpg,هومن سیدی,هومن سیدی، متولد 8 قوس 1359 در رشت، بازیگر، کارگردان و فیلمنامه‌نویس ایرانی است که از دهه 1380 فعالیت خود را آغاز کرده است. او در فیلم‌هایی مانند «سیزده» در سال 1392، «مغزهای کوچک زنگ‌زده» در سال 1396، و سریال‌هایی مانند «عاشقانه» در سال 1395 نقش‌آفرینی کرده است. سیدی برای کارگردانی «مغزهای کوچک زنگ‌زده» جوایز متعددی دریافت کرده است.
/content/drive/MyDrive/project/images/art_music_images/محمد_فیلی_8_0.jpg,محمد فیلی,محمد فیلی، متولد 31 مرداد 1329 در شیراز، بازیگر ایرانی است که از سال 1363 فعالیت خود را آغاز کرد. او در فیلم‌هایی مانند «شکار» (1366)، «جهان‌پهلوان تختی» (1376)، «آخرین بندر» (1371) و «روز شیطان» (1373) نقش‌آفرینی کرد. فیلی در مجموعه‌های تلویزیونی مانند «مختارنامه» (1389)، «امام علی» (1370)، «یوسف پیامبر» (1387)، «ولایت عشق» (1379)، «ستایش» (1389)، «پاورچین» (1381) و «روزگار قریب» (1386) حضور داشت.
/content/drive/MyDrive/project/images/art_music_images/پرستو_صالحی_9_0.jpg,پرستو صالحی,پرستو صالحی، متولد 9 آبان 1356 در تهران، بازیگر ایرانی است که از دهه 1370 فعالیت خود را آغاز کرده است. او در سریال‌هایی مانند «زیر آسمان شهر» در سال 1380، «شوخی کردم» در سال 1392، و فیلم‌هایی مانند «چشم و گوش بسته» در سال 1398 نقش‌آفرینی کرده است.
