question,image_url,gold_answer,predicted_option,is_correct,category
این فرد کیست و در چه زمینه ای فعالیت داشته است؟,https://th.bing.com/th/id/R.160f7eae6c078d2470d8ddaf9ac63852?rik=PAp6KjqSKQI7DQ&pid=ImgRaw&r=0,نیما یوشیج شاعر,نیما یوشیج شاعر,True,poets
این چهره ی چه کسی است؟,https://th.bing.com/th/id/R.f19cd7c574fb1ceb37d0dd7557333735?rik=lLL0kQFoooPrMA&pid=ImgRaw&r=0,علی دایی,علی دایی,True,athlete
این چهره ی چه کسی است؟,https://tse3.mm.bing.net/th/id/OIP.jYgq1FpWPqXFzJozqYAbaAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,آرین سلیمی,امیر یاوری,False,athlete
این چهره ی چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.HWeitJoEEB6czPH9_vBFnAAAAA?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,امیر عابدزاده، پرسپولیس,امیر عابدزاده، پرسپولیس,True,athlete
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://th.bing.com/th/id/R.57c6d4b5dd95b0ab883305644766e509?rik=pe6okxuixqaihQ&pid=ImgRaw&r=0,رزیتا علیپور، کاراته,رزیتا علیپور، کاراته,True,athlete
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://tse3.mm.bing.net/th/id/OIP.1SroD7i6k-t2T7z7T8ulsAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,حامد حدادی ، بسکتبال,حامد حدادی ، بسکتبال,True,athlete
این چهره ی چه کسی است و در کجا متولد شده است؟,https://tse1.mm.bing.net/th/id/OIP.nU_OzOvZ6YmVGsrnEwkJfAHaFk?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بهروز مکوندی، مسجدسلیمان,جاسم امیری، تهران,False,athlete
این فرد چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.99bDP9MqeM01dUFJwcS5JQHaGL?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,زهره کودایی سپاهان,زهره کودایی سپاهان,True,athlete
این فرد چه کسی است؟,https://th.bing.com/th/id/R.0041d3d9cef0a1d121c4a610b90e36cc?rik=e5XMOU%2bP0YtBKw&riu=http%3a%2f%2fwww.parvaresheafkar.com%2fwp-content%2fuploads%2f2018%2f07%2fReza-Yazdani-24.jpg&ehk=6pBqo35rfX9r5HqlOSJJk06OEYe57NejQEbzbs%2fMfiQ%3d&risl=&pid=ImgRaw&r=0&sres=1&sresct=1,رضا یزدانی,حمید درخشان,False,athlete
این فرد چه کسی است و در چه رشته ای بازی میکند؟,https://tse1.mm.bing.net/th/id/OIP.UnmNcdG5ULdYoUDye-VChAHaFG?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رضا حقیقی فوتبال,رضا حقیقی فوتبال,True,athlete
این فرد چه کسی است و در کجا متولد شده است؟,https://th.bing.com/th/id/R.187bbebdf8a9c7f626a0337b6229ccec?rik=uKkLXodBbhlH9Q&pid=ImgRaw&r=0,فرشاد احمدزاده ارومیه,فرشاد احمدزاده ارومیه,True,athlete
فردی که در تصویر است چه کسی است در چه تیم هایی بازی کرده است؟,https://th.bing.com/th/id/R.70cd6788173c6370fe61bee178841b79?rik=vVEsG%2b4ek8FsVw&pid=ImgRaw&r=0&sres=1&sresct=1,علیرضا منصوریان بالستیر گیلانگ,علیرضا منصوریان پارس شتاتآیزن,False,athlete
این استادبزرگ شطرنج در کجا متولد  شده است؟,https://tse3.mm.bing.net/th/id/OIP.y9VAAtWqiE2cGNB1H_2jXAHaFj?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,تهران,تهران,True,athlete
نام و رشته ی ورزشی این فرد چیست؟,https://www.wwe.com/f/styles/talent_champion_xl/public/all/2019/12/Ariya_Daivari_Pro--2478ed8b72ef28afc706786f23e365a5.png,آریا داوری کشتی,آریا داوری کشتی,True,athlete
نام و سن این فرد چیست؟,https://tse3.mm.bing.net/th/id/OIP.O4akfyyFPkQpa0cF-ZwdhgHaEl?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی علیپور 29 سال,علی علیپور 29 سال,True,athlete
فردی که در تصویر است چه کسی است؟,https://tse2.mm.bing.net/th/id/OIP.gvGKE6y8v7rzVLqEg-Q1ngHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی شفیعی,حجت صدقی,False,athlete
نام و رشته ی ورزشی این فرد چیست؟,https://th.bing.com/th/id/R.27d5e77674dd8e33a13543d12cc74c14?rik=eki3Mdcb%2fEyL7Q&pid=ImgRaw&r=0,الهام فلاح والیبال,الهام فلاح والیبال,True,athlete
کدام گزینه درباره ی این فرد صحیح است؟,https://tse1.mm.bing.net/th/id/OIP.El10jtpn4kDl1xtsd8MSFQHaHI?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,این فرد علی انصاریان است و در تیم استقلال بازی کرده است.,این فرد علی انصاریان است و در تیم استقلال بازی کرده است.,True,athlete
این چهره ی چه کسی است و در کجا متولد شده است؟,https://tse2.mm.bing.net/th/id/OIP.uTkBFD_F0Uj8GWPZLaAyegHaER?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,سردار آزمون گنبد کاووس,سردار آزمون گنبد کاووس,True,athlete
نام و رشته ی ورزشی این فرد چیست؟,https://tse4.mm.bing.net/th/id/OIP.yCtnWvn5riSF3HrY-wsCBAHaFa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رامین رضاییان فوتبال,رامین رضاییان فوتبال,True,athlete
این چهره ی چه کسی است؟,https://th.bing.com/th/id/R.c2a19d01aaae453d47e53eee49d895f1?rik=Z2Z5Yj%2f3vNBkvA&pid=ImgRaw&r=0,رحمان احمدی,رحمان احمدی,True,athlete
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse1.mm.bing.net/th/id/OIP.eH2W9QEttNzFORPGnT5qmAHaHJ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رعنا آزادیور زخم کاری,رعنا آزادیور زخم کاری,True,art_music
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.wTv1ZDsK6QEbw3zhHMJdOAHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رضا عطاران کلید ازدواج,پرویز پرستویی دیار عاشقان,False,art_music
این فرد در چه زمینه ای فعالیت دارد و چه جایزه ای برده است؟,https://tse1.mm.bing.net/th/id/OIP.moUrQ-zi0k6Tg4eKzpK9IwHaJM?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بازیگر جایزه امی,بازیگر جایزه امی,True,art_music
این فرد در چه زمینه ای فعالیت دارد و چه جایزه ای برده است؟,https://th.bing.com/th/id/R.8b4a52ba89961896d18613f35096e4b7?rik=lID6hxx8Fu7j7w&pid=ImgRaw&r=0&sres=1&sresct=1,ادبیات نامزد جایزه نوبل ادبیات,ادبیات نامزد جایزه نوبل ادبیات,True,poets
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse4.mm.bing.net/th/id/OIP.asCQmagGF0B8sBJH2rn8mAHaJO?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,الناز شاکردوست شبی که ماه کامل شد,الناز شاکردوست شبی که ماه کامل شد,True,art_music
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.wHlmXn_JJW9lhdz-RXvpXgHaKU?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,الهام حمیدی دو دوست,مهناز افشار آتش بس,False,art_music
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse1.mm.bing.net/th/id/OIP.0SodOeiZfiitss2ADxrPngHaFJ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مازیار فلاحی خواننده,مازیار فلاحی خواننده,True,art_music
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://th.bing.com/th/id/R.d2809c25a8599b09b8e020b498a83fd0?rik=1VGY1AJ3Y9lsVg&riu=http%3a%2f%2fwww.wikijoo.ir%2fimages%2fthumb%2ff%2ff0%2f41020400-1.jpg%2f600px-41020400-1.jpg&ehk=IOMjGjCOgkLoenDNsvUGYYzaZzcdKJzExP0u2cCr%2fxk%3d&risl=&pid=ImgRaw&r=0,اکبر هاشمی رفسنجانی سیاسی,اکبر هاشمی رفسنجانی سیاسی,True,politicians
کدام گزاره درباره ی این فرد صحیح است؟,https://tse4.mm.bing.net/th/id/OIP.5ronTcCLOqQbpQzR7u9T1QHaGh?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت,او با سریال «پایتخت» (1390)، فیلم «یه حبه قند» (1390) و تئاترهایی مانند «آن سوی آینه» (1397) شهرت دارد,False,art_music
کدام گزاره درباره ی این فرد صحیح است؟,https://tse4.mm.bing.net/th/id/OIP.baWaOo-ZFMv-aR9eZot_VQHaFZ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,در سال 1394 برنده جایزه بهترین بازیگر زن در جشن حافظ برای «شهرزاد» شد,او با سریال «پایتخت» (1390)، فیلم «یه حبه قند» (1390) و تئاترهایی مانند «آن سوی آینه» (1397) شهرت دارد,False,art_music
این فرد کیست و چه فعالیتی داشته است؟,https://tse1.mm.bing.net/th/id/OIP.zNyif5uIB2C_VNQVSh-BAgAAAA?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مصطفی چمران، نماینده دوره نخست مجلس شورای اسلامی,مصطفی چمران، نماینده دوره نخست مجلس شورای اسلامی,True,politicians
کدام گزاره درباره ی این فرد صحیح است؟,https://tse1.explicit.bing.net/th/id/OIP.Glx3Z6PX8Bki-6QhbySrmQHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,برای تیتراژ سریال‌هایی مانند «قلب یخی» (1389) و «آسپرین» (1395) آهنگ اجرا کرد و به دلیل ترانه‌های عاشقانه و اجتماعی‌اش محبوبیت زیادی کسب کرد,او با سریال «پایتخت» (1390)، فیلم «یه حبه قند» (1390) و تئاترهایی مانند «آن سوی آینه» (1397) شهرت دارد,False,art_music
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse2.mm.bing.net/th/id/OIP.OHU2Io2IHVVf2OXiZ8Cq_QHaHa?r=0&pid=ImgDet&w=474&h=474&rs=1&o=7&rm=3,میترا حجار بازیگر,میترا حجار بازیگر,True,art_music
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse4.mm.bing.net/th/id/OIP.8zRBmGAW8yddb7vuV7qjRwHaE3?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,فریدون فرخزاد شاعر,فریدون فرخزاد شاعر,True,poets
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.YVmg2rPvhMdatQt8aWucLAHaEK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مهناز افشار آتش بس,الناز شاکردوست شبی که ماه کامل شد,False,art_music
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse2.mm.bing.net/th/id/OIP.tlCNcmVIbFDNwmBhnWkOugHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بهرام رادان بازیگر,بهرام رادان بازیگر,True,art_music
این فرد در چه فیلمی ایفای نقش کرده است؟,https://tse1.explicit.bing.net/th/id/OIP.iZg_c-rdLg_XVFNVUiR5AAHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,درباره الی,زخم کاری,False,art_music
این فرد در کجا ترور شده است؟,https://th.bing.com/th/id/R.eec2e9e3533f78d1841df0b43b9dca8c?rik=Jz0gZWC8VG8z6Q&riu=http%3a%2f%2fwww.iichs.ir%2fUpload%2fImage%2f139404%2fOrginal%2f1a43399f_b798_495b_9e50_79e2bd61a9a7.jpg&ehk=GuDDfeZ56jJuDGXnlEoN2QztolfdYVWoUwUM9K1BFbI%3d&risl=&pid=ImgRaw&r=0,در خانه اش,هیچکدام,False,politicians
این فرد در چه سالهایی رئیس جمهور بوده است؟,https://th.bing.com/th/id/R.f59e8a325435156a4f92daf8e4a2ac3c?rik=COt%2bmPO39g%2bTiw&pid=ImgRaw&r=0,(1376 - 1384),(1376 - 1384),True,politicians
این فرد چه کسی است؟,https://tse4.mm.bing.net/th/id/OIP.8VXvn8OkoKC7BIj68MulpwHaKe?r=0&rs=1&pid=ImgDetMain&o=7&rm=3, دومین رئیس‌جمهور ایران (11 اوت - 8 سپتامبر 1980). چهل و دومین نخست‌وزیر ایران (تا اوت 1980)., دومین رئیس‌جمهور ایران (11 اوت - 8 سپتامبر 1980). چهل و دومین نخست‌وزیر ایران (تا اوت 1980).,True,politicians
این بازیگر چه جوایزی برده است؟,https://tse2.mm.bing.net/th/id/OIP.3BPkGZJwP4ErAuNEGHToGwHaEK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,برای «عروس» و «سارا» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرد,موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول زن از جشنواره فیلم فجر برای فیلم «شیار 143» (1393) شده است,False,art_music
این بازیگر چه جوایزی برده است؟,https://th.bing.com/th/id/R.cd0ade9c5fe6de520fc7fefb708c477b?rik=0Q%2bx2IfC5z6m3w&pid=ImgRaw&r=0,موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول مرد از جشنواره فیلم فجر برای فیلم «قرمز» (1377) شده است,موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول مرد از جشنواره فیلم فجر برای فیلم «قرمز» (1377) شده است,True,art_music
این خواننده در چه سریال هایی بازی کرده است؟,https://th.bing.com/th/id/R.9066073cb3ce0030962ee24129b9903f?rik=GR4DWxquvBGyHA&pid=ImgRaw&r=0,در سریال‌هایی مانند «عاشقانه» و «مانکن» بازی کرد,در سریال‌هایی مانند «عاشقانه» و «مانکن» بازی کرد,True,art_music
این بازیگر در چه فیلم هایی نقش آفرینی کرده است؟,https://th.bing.com/th?id=OIF.NvKU%2fgYlktDgUZMHWOqNcg&r=0&rs=1&pid=ImgDetMain&o=7&rm=3,او در فیلم‌هایی مانند «ماجرای نیمروز» در سال 1395، «اتوبوس شب» در سال 1385، و «قاعده تصادف» در سال 1391 نقش‌آفرینی کرده است,در فیلم‌هایی مانند «اخراجی‌ها» در سال 1385، «مارمولک» در سال 1382، نقش آفرینی کرده است,False,art_music
این فرد چه آلبوم هایی دارد؟,https://th.bing.com/th/id/R.28543d95d7ffce6ee22e9cfcdc77b545?rik=3P%2biVy9U7NGz6g&pid=ImgRaw&r=0,آلبوم‌هایی چون «نسیم وصل» (1382)، «ایران من» (1398),آلبوم‌هایی چون «بلوز دم می‌کشه» (1384)، «ماه و سنگ» (1390),False,art_music
این شاعر در چه سالی درگذشت؟,https://tse2.mm.bing.net/th/id/OIP.ExDlWxIGjqpW6nD6ng3t1gHaFL?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,در 5 فروردین 1401 درگذشت,در 23 اسفند 1395 خورشیدی در تهران درگذشت,False,poets
این فرد کیست و در چه سالی درگذشت؟,https://tse3.mm.bing.net/th/id/OIP.D05hnHmRRtotHo6HhQeotwHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,قیصر امین‌پور، شاعر دوره پهلوی و جمهوری اسلامی، در سال 1338 شمسی در گتوند زاده شد و در سال 1386 شمسی در تهران درگذشت.,قیصر امین‌پور، شاعر دوره پهلوی و جمهوری اسلامی، در سال 1338 شمسی در گتوند زاده شد و در سال 1386 شمسی در تهران درگذشت.,True,poets
