question,image_url,gold_answer,gold_answer_name,model_answer,judge,is_correct,category
این چهره ی چه کسی است؟,https://tse3.mm.bing.net/th/id/OIP.jYgq1FpWPqXFzJozqYAbaAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,آرین سلیمی,آرین سلیمی,تشخیص چهره با توجه به تصویر ممکن نیست.,خیر,False,athlete
این چهره ی چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.HWeitJoEEB6czPH9_vBFnAAAAA?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,امیر عابدزاده، پرسپولیس,امیر عابدزاده,این تصویر مربوط به بازیکن تیم ملی فوتبال ایران است. بدون اطلاعات بیشتر، شناسایی دقیق ممکن نیست.,خیر,False,athlete
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTki6HUgVMRWmY45IOq6J4UztzI5P7hMyfaTg&s,حامد حدادی ، بسکتبال,حامد حدادی,این تصویر مربوط به سعید معروف، بازیکن والیبال ایران است.,خیر,False,athlete
این چهره ی چه کسی است و در کجا متولد شده است؟,https://tse1.mm.bing.net/th/id/OIP.nU_OzOvZ6YmVGsrnEwkJfAHaFk?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بهروز مکوندی، مسجدسلیمان,بهروز مکوندی,این تصویر مربوط به مجید جلالی، مربی فوتبال ایرانی است. او در تهران متولد شده است.,خیر,False,athlete
این فرد چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.99bDP9MqeM01dUFJwcS5JQHaGL?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,زهره کودایی سپاهان,زهره کودایی,این فرد دروازه‌بان تیم ملی فوتبال زنان ایران است.,خیر,False,athlete
این فرد چه کسی است و در چه رشته ای بازی میکند؟,https://tse1.mm.bing.net/th/id/OIP.UnmNcdG5ULdYoUDye-VChAHaFG?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رضا حقیقی فوتبال,رضا حقیقی,این تصویر مربوط به یک بازیکن فوتبال است که لباس تیم پرسپولیس را به تن دارد. اطلاعات دقیق‌تر مشخص نیست.,خیر,False,athlete
این فرد چه کسی است و در کجا متولد شده است؟,https://th.bing.com/th/id/R.187bbebdf8a9c7f626a0337b6229ccec?rik=uKkLXodBbhlH9Q&pid=ImgRaw&r=0,فرشاد احمدزاده ارومیه,فرشاد احمدزاده,این تصویر به دلیل وضوح ناکافی قابل شناسایی نیست.,خیر,False,athlete
فردی که در تصویر است چه کسی است در چه تیم هایی بازی کرده است؟,https://th.bing.com/th/id/R.70cd6788173c6370fe61bee178841b79?rik=vVEsG%2b4ek8FsVw&pid=ImgRaw&r=0&sres=1&sresct=1,علیرضا منصوریان بالستیر گیلانگ,علیرضا منصوریان,با توجه به تصویر و اطلاعات محدود، نمی‌توان به طور قطعی هویت فرد و تیم‌هایی که در آن بازی کرده است را مشخص کرد.,خیر,False,athlete
این استادبزرگ شطرنج در کجا متولد  شده است؟,https://tse3.mm.bing.net/th/id/OIP.y9VAAtWqiE2cGNB1H_2jXAHaFj?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,تهران,الشن مرادی,برای پاسخ دقیق نیاز به اطلاعات بیشتری است.,خیر,False,athlete
نام و رشته ی ورزشی این فرد چیست؟,https://www.wwe.com/f/styles/talent_champion_xl/public/all/2019/12/Ariya_Daivari_Pro--2478ed8b72ef28afc706786f23e365a5.png,آریا داوری کشتی,آریا داوری,اطلاعات کافی برای شناسایی فرد و رشته ورزشی وجود ندارد.,خیر,False,athlete
