question,predicted_option,rationale,gold_answer,is_correct,category
حبیب‌الله بلور در کدام رشته ورزشی فعالیت داشت؟,کشتی,حبیب‌الله بلور یکی از کشتی‌گیران معروف ایران بود.,کشتی,1,athlete
بهرنگ صفری در چه سالی متولد شده است؟,۱۳۶۳,بهرنگ صفری در سال ۱۳۶۳ متولد شده است.,۱۳۶۳,1,athlete
عبدالله موحد چند مدال جهانی کسب کرده است؟,۳,عبدالله موحد یکی از ورزشکاران موفق در رشته کشتی است و در مسابقات جهانی موفق به کسب ۳ مدال شده است.,۵,0,athlete
لوون کورکچیان مدال طلای خود را در کدام رقابت کسب کرده است؟,المپیک ۱۹۵۲ هلسینکی,لوون کورکچیان مدال طلای خود را در المپیک ۱۹۵۲ هلسینکی کسب کرده است.,بازی‌های آسیایی ۱۹۵۱ دهلی نو,0,athlete
علیرضا حقی در چه ماهی متولد شده است؟,فوریهٔ ۱۹۷۹,علیرضا حقی یکی از شخصیت‌های شناخته شده در ایران است و تاریخ تولد او به این ماه مربوط می‌شود.,فوریهٔ ۱۹۷۹,1,athlete
زوونیمیر سولدو در کدام کشور متولد شده است؟,کرواسی,زوونیمیر سولدو یک بازیکن فوتبال و مربی است که در کرواسی متولد شده است.,کرواسی,1,athlete
محراب شاهرخی در چه سالی درگذشته است؟,۱۳۷۱,محراب شاهرخی در سال ۱۳۷۱ درگذشت.,۱۳۷۱,1,athlete
وزن محمد جمشیدی چند کیلوگرم است؟,۸۰,این وزن معمولاً برای افراد با قد متوسط و ساختار بدنی متوسط مناسب است.,۸۰,1,athlete
مجتبی گلیج در کدام شهر متولد شده است؟,رشت,مجتبی گلیج در رشت متولد شده است.,تنکابن,0,athlete
قد ایمان موسوی چند است؟,۱/۸۴,ایمان موسوی به عنوان یک ورزشکار حرفه‌ای، قدی در حدود ۱/۸۴ متر دارد.,۱/۸۴,1,athlete
الهام فلاح در چه رشته‌ای فعالیت دارد؟,کاراته,الهام فلاح یک ورزشکار در رشته کاراته است.,والیبال,0,athlete
ناصر حجازی در کدام تیم ها بازی کرده است؟,استقلال و منچستر یونایتد,ناصر حجازی یکی از بازیکنان معروف فوتبال ایران بود و بیشتر دوران حرفه‌ای خود را در تیم استقلال گذراند.,استقلال و منچستر یونایتد,1,athlete
امیرعلی صادقی در کدام تیم‌ها بازی کرده است؟,پیکان و نساجی,امیرعلی صادقی در تیم‌های پیکان و نساجی بازی کرده است.,سایپا و استقلال,0,athlete
مهتاب رحمانی ورزشکار کدام رشته است؟,کاراته,مهتاب رحمانی یک ورزشکار در رشته کاراته است.,والیبال,0,athlete
بهتاش فریبا در چه شهری متولد شده است؟,تهران,بهتاش فریبا در تهران متولد شده است.,تهران,1,athlete
صمد پورسیدی در چه رشته‌ای فعالیت دارد؟,کشتی,صمد پورسیدی به عنوان یک کشتی‌گیر شناخته شده است.,دوچرخه‌سواری,0,athlete
عبدالواحد خنجی در کدام شهر و کشور متولد شده است؟,سیستان و بلوچستان ایران,عبدالواحد خنجی یکی از شاعران و نویسندگان ایرانی است که در سیستان و بلوچستان به دنیا آمده است.,منامه بحرین,0,athlete
بیژن طاهری بازیکن کدام رشته است؟,فوتبال,بیژن طاهری یک بازیکن فوتبال ایرانی است.,فوتبال,1,athlete
