question,category,gold_answer,target_name,answer_text,evidence_span,ctx_names
حبیب‌الله بلور در کدام رشته ورزشی فعالیت داشت؟,athlete,کشتی,حبیب‌الله بلور,کشتی,حبیب‌الله بلور، ورزشکار کشتی، در تاریخ 5 فروردین 1292 در تهران متولد شده است، در تاریخ 23 فروردین 1361 درگذشته است.,"['حبیب\u200cالله بلور', 'حبیب\u200cالله بلور', 'حبیب\u200cالله اخلاقی']"
بهرنگ صفری در چه سالی متولد شده است؟,athlete,۱۳۶۳,بهرنگ صفری,1363,بهرنگ صفری، ورزشکار فوتبال، در تاریخ 20 بهمن 1363 (سن:40 سال) در تهران، ایران متولد شده است,"['بهرنگ صفری', 'سعید صفری', 'شکوفه صفری']"
عبدالله موحد چند مدال جهانی کسب کرده است؟,athlete,۵,عبدالله موحد,عبدالله موحد 5 مدال جهانی کسب کرده است.,او 5 مدال جهانی، 2 مدال منطقه‌ای، و یک مدال المپیک کسب کرده است.,"['عبدالله موحد', 'علی\u200cاکبر موسوی موحدی', 'بهادر مولایی']"
لوون کورکچیان مدال طلای خود را در کدام رقابت کسب کرده است؟,athlete,بازی‌های آسیایی ۱۹۵۱ دهلی نو,لوون کورکچیان,بازی‌های آسیایی 1951 دهلی‌نو,افتخار مدال طلا بازی‌های آسیایی 1951 دهلی‌نو را کسب کرده است.,"['لوون کورکچیان', 'ساره جوانمردی', 'علی اشکوریان']"
علیرضا حقی در چه ماهی متولد شده است؟,athlete,فوریهٔ ۱۹۷۹,علیرضا حقی,در تاریخ 8 فوریه 1979 متولد شده است.,علیرضا حقی، ورزشکار دوچرخه‌سواری، در تاریخ 8 فوریه 1979 (در 46 سال) متولد شده است.,"['علیرضا حقی', 'علیرضا محمدی', 'علیرضا حقیقی']"
زوونیمیر سولدو در کدام کشور متولد شده است؟,athlete,کرواسی,زوونیمیر سولدو,نمی‌دانم,,"['زوونیمیر سولدو', 'آلمدین زیلیکیچ', 'آندره رینالدو']"
محراب شاهرخی در چه سالی درگذشته است؟,athlete,۱۳۷۱,محراب شاهرخی,محراب شاهرخی در تاریخ 12 بهمن 1371 درگذشته است.,محراب شاهرخی، ورزشکار فوتبال، در تاریخ 12 بهمن 1322 در سربندر، ایران متولد شده است، در تاریخ 12 بهمن 1371 درگذشته است، قد ایشان - است.,"['محراب شاهرخی', 'ازرقی هروی', 'سهراب سپهری']"
وزن محمد جمشیدی چند کیلوگرم است؟,athlete,۸۰,محمد جمشیدی,80 کیلوگرم,محمد جمشیدی، ورزشکار بسکتبال، در تاریخ 30 ژوئیه 1991 (در 33 سال) متولد شده است، وزن ایشان 80 کیلوگرم (176 پوند) است.,"['محمد جمشیدی ', 'بهروز جمشیدی', 'محمد شهریان']"
مجتبی گلیج در کدام شهر متولد شده است؟,athlete,تنکابن,مجتبی گلیج,تنکابن,مجتبی گلیج، ورزشکار کشتی، در تاریخ 3 بهمن 1375 (28 سال) در تنکابن متولد شده است,"['مجتبی گلیج', 'مجتبی حق\u200cدوست', 'محمدعلی زلفی\u200cگل']"
قد ایمان موسوی چند است؟,athlete,۱/۸۴,ایمان موسوی,قد ایشان 1 / 84 است,ایمان موسوی، ورزشکار فوتبال، در تاریخ 16 بهمن 1367 در فجرسپاسی متولد شده است، قد ایشان 1 / 84 است، در تیم سال‌های بازی کرده است.,"['ایمان موسوی', 'محمد موسوی', 'احمد موسوی']"
الهام فلاح در چه رشته‌ای فعالیت دارد؟,athlete,والیبال,الهام فلاح,ورزشکار والیبال,الهام فلاح، ورزشکار والیبال، در تاریخ 25 فروردین 1373 (31 سال) شیراز در تیم ملی بزرگسالان ایران متولد شده است,"['الهام فلاح', 'مازیار فلاحی', 'الهام امین\u200cزاده']"
ناصر حجازی در کدام تیم ها بازی کرده است؟,athlete,استقلال و منچستر یونایتد,ناصر حجازی,ناصر حجازی در تیم‌های نادر تهران، تاج، شهباز، استقلال، محمدان و منچستر یونایتد بازی کرده است.,در تیم‌های نادر تهران، تاج، شهباز، استقلال، محمدان و منچستر یونایتد بازی کرده است.,"['ناصر حجازی', 'آتیلا حجازی', 'احمد نوراللهی']"
امیرعلی صادقی در کدام تیم‌ها بازی کرده است؟,athlete,سایپا و استقلال,امیرعلی صادقی,امیرعلی صادقی برای استقلال بازی می‌کند.,او با شماره 99 برای استقلال بازی می‌کند,"['امیرعلی صادقی', 'اکبر صادقی ', 'محمدباقر صادقی']"
مهتاب رحمانی ورزشکار کدام رشته است؟,athlete,والیبال,مهتاب رحمانی,والیبال,مهتاب رحمانی، ورزشکار والیبال، در تاریخ 3 شهریور 1371 (32 سال) کرمانشاه در تیم ملی بزرگسالان ایران متولد شده است,"['مهتاب رحمانی', 'بختیار رحمانی', 'رحمان رضایی ']"
بهتاش فریبا در چه شهری متولد شده است؟,athlete,تهران,بهتاش فریبا,تهران,بهتاش فریبا، ورزشکار فوتبال، در تاریخ 22 بهمن 1334 (69 سال) در تهران، ایران متولد شده است.,"['بهتاش فریبا', 'فریبا صادقی', 'سعید بشیرتاش']"
صمد پورسیدی در چه رشته‌ای فعالیت دارد؟,athlete,دوچرخه‌سواری,صمد پورسیدی,ورزشکار دوچرخه‌سواری,صمد پورسیدی، ورزشکار دوچرخه‌سواری، در تاریخ 23 مهر 1364 (سن: در 39 سال) متولد شده است.,"['صمد پورسیدی', 'آزاده صمدی', 'سعید پورصمیمی']"
عبدالواحد خنجی در کدام شهر و کشور متولد شده است؟,athlete,منامه بحرین,عبدالواحد خنجی,عبدالواحد خنجی در منامه متولد شده است.,عبدالواحد خنجی، ورزشکار دوچرخه‌سواری، در تاریخ 17 بهمن 1307 در منامه متولد شده است,"['عبدالواحد خنجی', 'عبدالمجید ریگی', 'سید محمدعلی انگجی']"
بیژن طاهری بازیکن کدام رشته است؟,athlete,فوتبال,بیژن طاهری,فوتبال,بیژن طاهری، ورزشکار فوتبال، در تاریخ 1 فروردین 1340 (سن:64 سال) در تهران، ایران متولد شده است.,"['بیژن طاهری', 'بیژن حیدری', 'امین طاهری']"
علی مرادی در چه رشته‌ای ورزشکار است؟,athlete,وزنه‌برداری,علی مرادی,وزنه‌برداری,علی مرادی، متولد 1341 در ایران، فعال در حوزه وزنه‌برداری است,"['امیر مرادی', 'علی مرادی ', 'مراد محمدی']"
رضا علی‌پور ورزشکار کدام رشته است؟,athlete,سنگ‌نوردی,رضا علی‌پور,ورزشکار سنگ‌نورد,رضا علی‌پور، ورزشکار سنگ‌نورد، در تاریخ 9 اردیبهشت 1373 (در 31 سال) متولد شده است.,"['رضا علی\u200cپور', 'علی علیپور', 'حمیدرضا قلی\u200cپور']"
وحید گل‌خندان در جام جهانی ریودوژانیرو ۲۰۲۲ کدام مدال را کسب کرده است؟,athlete,نقره,وحید گل‌خندان,مدال نقره,مدال نقره جام جهانی ریودوژانیرو 2022,"['وحید گل\u200cخندان', 'جواد فروغی', 'سجاد مردانی']"
وحید سرلک در چه رشته‌ای شناخته می‌شود؟,athlete,رزمی,وحید سرلک,ورزشکار رزمی,وحید سرلک، ورزشکار رزمی، در تاریخ 30 دی 1359 در ایران متولد شده است.,"['وحید سرلک', 'میلاد سرلک', 'وحید دستگردی']"
یوسف وکیا بازیکن کدام تیم‌ها بوده است؟,athlete,فولاد و نفت مسجدسلیمان,یوسف وکیا,یوسف وکیا در تیم‌های فولاد، نفت مسجدسلیمان، گل‌گهر، پدیده، خیبر خرم‌آباد، فجر سپاسی، صنعت نفت آبادان و بعثت کرمانشاه بازی کرده است.,در تیم‌های فولاد، نفت مسجدسلیمان، گل‌گهر، پدیده، خیبر خرم‌آباد، فجر سپاسی، صنعت نفت آبادان و بعثت کرمانشاه بازی کرده است.,"['یوسف وکیا', 'محرم نویدکیا', 'اکبر میثاقیان']"
هاروتیون آبراهامیان اهل کدام کشور است؟,athlete,ارمنستان,هاروتیون آبراهامیان,ارمنستان,هاروتیون آبراهامیان، ورزشکار فوتبال، در تاریخ 4 دسامبر 1969 (55 سال) در ایروان، ارمنستان متولد شده است,"['هاروتیون آبراهامیان', 'یِرواند آبراهامیان', 'وارازدات هارویان']"
جمشید نصیری در کدام شهر ایران متولد شده است؟,athlete,خرمشهر,جمشید نصیری,بندر خرمشهر,جمشید نصیری، ورزشکار فوتبال، در تاریخ 23 فوریه 1959 (66 سال) در بندر خرمشهر، ایران متولد شده است,"['جمشید نصیری', 'جمشید انصاری', 'ابراهیم نصیری']"
رضا افتخاری در کدام رشته ورزشی شناخته می‌شود؟,athlete,فوتبال,رضا افتخاری,فوتبال,رضا افتخاری، ورزشکار فوتبال.,"['رضا افتخاری', 'سید علی افتخاری', 'رضا قاسمی ']"
پوریا امینی در چه استانی متولد شده است؟,athlete,گیلانغرب,پوریا امینی,گیلانغرب,پوریا امینی، ورزشکار فوتبال، در تاریخ 8 اسفند 1373 (30 سال) در گیلانغرب، ایران متولد شده است,"['پوریا امینی', 'فاطمه امینی ', 'شیوا امینی']"
حسن حبیبی در کدام شهر متولد شده است؟,athlete,کرمان,حسن حبیبی,کرمان,حسن حبیبی، ورزشکار فوتبال، در تاریخ 18 بهمن 1318 (85 سال) در کرمان، ایران متولد شده است.,"['حسن حبیبی ', 'حسن ابراهیم حبیبی', 'حسن بیادی']"
زینب گیوه بازیکن والیبال ایرانی در کدام پست فعالیت می‌کند؟,athlete,دریافت‌کننده قدرتی,زینب گیوه,دریافت‌کننده قدرتی,زینب گیوه... در پست دریافت‌کننده قدرتی فعالیت می‌کند.,"['زینب گیوه', 'زینب ملکی', 'پری فردی']"
حسین مهربان بازیکن کدام تیم‌ها بوده است؟,athlete,پدیده و فجر سپاسی,حسین مهربان,حسین مهربان در تیم‌های پدیده، فجر سپاسی، مس رفسنجان و هوادار بازی کرده است.,حسین مهربان، ورزشکار فوتبال، در تاریخ 12 مه 1996 در مشهد، ایران متولد شده است، در تیم‌های پدیده، فجر سپاسی، مس رفسنجان و هوادار بازی کرده است.,"['حسین مهربان', 'حسین کریمی', 'حسین صادقی ']"
