question,image_url,predicted_option,rationale,gold_answer,is_correct,category
این فرد کیست و در چه زمینه ای فعالیت داشته است؟,https://th.bing.com/th/id/R.160f7eae6c078d2470d8ddaf9ac63852?rik=PAp6KjqSKQI7DQ&pid=ImgRaw&r=0,نیما یوشیج شاعر,نیما یوشیج به عنوان پدر شعر نو فارسی شناخته می‌شود و در زمینه شعر فعالیت داشته است.,نیما یوشیج شاعر,1,poets
این چهره ی چه کسی است؟,https://th.bing.com/th/id/R.f19cd7c574fb1ceb37d0dd7557333735?rik=lLL0kQFoooPrMA&pid=ImgRaw&r=0,علی دایی,علی دایی یکی از معروف‌ترین فوتبالیست‌های ایران است و به عنوان بهترین گلزن تاریخ فوتبال ملی ایران شناخته می‌شود.,علی دایی,1,athlete
این چهره ی چه کسی است؟,https://tse3.mm.bing.net/th/id/OIP.jYgq1FpWPqXFzJozqYAbaAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,امیر یاوری,با توجه به اطلاعات عمومی و زمینه ورزشی، امیر یاوری به عنوان یک بازیکن شناخته شده است.,آرین سلیمی,0,athlete
این چهره ی چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.HWeitJoEEB6czPH9_vBFnAAAAA?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,امیر عابدزاده، پرسپولیس,امیر عابدزاده دروازه‌بان معروفی است و به عنوان یکی از بازیکنان تیم ملی ایران شناخته می‌شود.,امیر عابدزاده، پرسپولیس,1,athlete
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://th.bing.com/th/id/R.57c6d4b5dd95b0ab883305644766e509?rik=pe6okxuixqaihQ&pid=ImgRaw&r=0,رزیتا علیپور، کاراته,شخص در تصویر لباس کاراته به تن دارد و در حال آماده شدن برای مسابقه کاراته است.,رزیتا علیپور، کاراته,1,athlete
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://tse3.mm.bing.net/th/id/OIP.1SroD7i6k-t2T7z7T8ulsAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,حامد حدادی ، بسکتبال,حامد حدادی یکی از بازیکنان معروف بسکتبال ایران است.,حامد حدادی ، بسکتبال,1,athlete
این چهره ی چه کسی است و در کجا متولد شده است؟,https://tse1.mm.bing.net/th/id/OIP.nU_OzOvZ6YmVGsrnEwkJfAHaFk?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,جاسم امیری، تهران,با توجه به اطلاعات عمومی، جاسم امیری یک چهره شناخته شده در فوتبال ایران است و در تهران متولد شده است.,بهروز مکوندی، مسجدسلیمان,0,athlete
این فرد چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.99bDP9MqeM01dUFJwcS5JQHaGL?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,زهره کودایی سپاهان,زهره کودایی به عنوان دروازه‌بان تیم ملی فوتبال زنان ایران و باشگاه سپاهان شناخته شده است.,زهره کودایی سپاهان,1,athlete
این فرد چه کسی است؟,https://th.bing.com/th/id/R.0041d3d9cef0a1d121c4a610b90e36cc?rik=e5XMOU%2bP0YtBKw&riu=http%3a%2f%2fwww.parvaresheafkar.com%2fwp-content%2fuploads%2f2018%2f07%2fReza-Yazdani-24.jpg&ehk=6pBqo35rfX9r5HqlOSJJk06OEYe57NejQEbzbs%2fMfiQ%3d&risl=&pid=ImgRaw&r=0&sres=1&sresct=1,حمید درخشان,این تصویر به نظر می‌رسد که مربوط به یک کشتی‌گیر ایرانی است و حمید درخشان یکی از کشتی‌گیران معروف ایران است.,رضا یزدانی,0,athlete
این فرد چه کسی است و در چه رشته ای بازی میکند؟,https://tse1.mm.bing.net/th/id/OIP.UnmNcdG5ULdYoUDye-VChAHaFG?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رضا حقیقی فوتبال,رضا حقیقی یک بازیکن فوتبال ایرانی است که در پست هافبک بازی می‌کند.,رضا حقیقی فوتبال,1,athlete
