question,gold_answer,model_answer,judge,is_correct,category
بهرنگ صفری در چه سالی متولد شده است؟,۱۳۶۳,بهرنگ صفری در سال ۱۹۸۵ میلادی (۱۳۶۴ شمسی) متولد شده است.,خیر,False,athlete
عبدالله موحد چند مدال جهانی کسب کرده است؟,۵,عبدالله موحد ۶ مدال طلای جهانی در کشتی آزاد کسب کرده است.,خیر,False,athlete
لوون کورکچیان مدال طلای خود را در کدام رقابت کسب کرده است؟,بازی‌های آسیایی ۱۹۵۱ دهلی نو,لوون کورکچیان مدال طلای خود را در رقابت‌های وزنه‌برداری کسب کرده است.,خیر,False,athlete
علیرضا حقی در چه ماهی متولد شده است؟,فوریهٔ ۱۹۷۹,اطلاعاتی درباره ماه تولد علیرضا حقی در دسترس نیست.,خیر,False,athlete
محراب شاهرخی در چه سالی درگذشته است؟,۱۳۷۱,محراب شاهرخی در سال 1361 درگذشته است.,خیر,False,athlete
وزن محمد جمشیدی چند کیلوگرم است؟,۸۰,اطلاعات دقیقی در مورد وزن محمد جمشیدی در دسترس نیست.,خیر,False,athlete
مجتبی گلیج در کدام شهر متولد شده است؟,تنکابن,ساری.,خیر,False,athlete
قد ایمان موسوی چند است؟,۱/۸۴,اطلاعات دقیقی درباره قد ایمان موسوی در دسترس نیست.,خیر,False,athlete
الهام فلاح در چه رشته‌ای فعالیت دارد؟,والیبال,الهام فلاح نویسنده و داستان‌نویس است.,خیر,False,athlete
ناصر حجازی در کدام تیم ها بازی کرده است؟,استقلال و منچستر یونایتد,"ناصر حجازی در تیم‌های زیر بازی کرده است:  
1. تاج (استقلال)  
2. شهباز  
3. بانک ملی  
4. منتخب تهران  
5. تیم ملی ایران",خیر,False,athlete
