question,gold_answer,category,model_answer,judge,is_correct
حبیب‌الله بلور در کدام رشته ورزشی فعالیت داشت؟,کشتی,athlete,حبیب‌الله بلور در رشته وزنه‌برداری فعالیت داشت.,خیر,0
بهرنگ صفری در چه سالی متولد شده است؟,۱۳۶۳,athlete,بهرنگ صفری در سال ۱۳۶۲ متولد شده است.,خیر,0
عبدالله موحد چند مدال جهانی کسب کرده است؟,۵,athlete,عبدالله موحد دو مدال جهانی کسب کرده است.,خیر,0
لوون کورکچیان مدال طلای خود را در کدام رقابت کسب کرده است؟,بازی‌های آسیایی ۱۹۵۱ دهلی نو,athlete,لوون کورکچیان مدال طلای خود را در مسابقات قهرمانی وزنه‌برداری جهان کسب کرده است.,خیر,0
علیرضا حقی در چه ماهی متولد شده است؟,فوریهٔ ۱۹۷۹,athlete,متأسفانه اطلاعات دقیقی درباره تاریخ تولد علیرضا حقی ندارم.,خیر,0
زوونیمیر سولدو در کدام کشور متولد شده است؟,کرواسی,athlete,زوونیمیر سولدو در کرواسی متولد شده است.,بله,1
محراب شاهرخی در چه سالی درگذشته است؟,۱۳۷۱,athlete,محراب شاهرخی در سال ۱۳۹۰ درگذشت.,خیر,0
وزن محمد جمشیدی چند کیلوگرم است؟,۸۰,athlete,متأسفانه اطلاعاتی درباره وزن محمد جمشیدی ندارم.,خیر,0
مجتبی گلیج در کدام شهر متولد شده است؟,تنکابن,athlete,مجتبی گلیج در شهر تهران متولد شده است.,خیر,0
قد ایمان موسوی چند است؟,۱/۸۴,athlete,قد ایمان موسوی حدود ۱۷۵ سانتی‌متر است.,خیر,0
الهام فلاح در چه رشته‌ای فعالیت دارد؟,والیبال,athlete,الهام فلاح در رشته هنرهای تجسمی فعالیت دارد.,خیر,0
ناصر حجازی در کدام تیم ها بازی کرده است؟,استقلال و منچستر یونایتد,athlete,ناصر حجازی در تیم‌های استقلال و تیم ملی فوتبال ایران بازی کرده است.,خیر,0
امیرعلی صادقی در کدام تیم‌ها بازی کرده است؟,سایپا و استقلال,athlete,امیرعلی صادقی در تیم‌های مختلفی از جمله تیم‌های پایه و بزرگسالان فوتبال ایران بازی کرده است. برای اطلاعات دقیق‌تر، به منابع رسمی یا اخبار ورزشی مراجعه کنید.,خیر,0
مهتاب رحمانی ورزشکار کدام رشته است؟,والیبال,athlete,مهتاب رحمانی ورزشکار رشته تیراندازی است.,خیر,0
بهتاش فریبا در چه شهری متولد شده است؟,تهران,athlete,بهتاش فریبا در تهران متولد شده است.,خیر,0
صمد پورسیدی در چه رشته‌ای فعالیت دارد؟,دوچرخه‌سواری,athlete,صمد پورسیدی در رشته ادبیات و نویسندگی فعالیت دارد.,خیر,0
عبدالواحد خنجی در کدام شهر و کشور متولد شده است؟,منامه بحرین,athlete,عبدالواحد خنجی در شهر خنج، ایران متولد شده است.,خیر,0
بیژن طاهری بازیکن کدام رشته است؟,فوتبال,athlete,بیژن طاهری بازیکن فوتبال است.,خیر,0
علی مرادی در چه رشته‌ای ورزشکار است؟,وزنه‌برداری,athlete,علی مرادی در رشته وزنه‌برداری ورزشکار است.,خیر,0
رضا علی‌پور ورزشکار کدام رشته است؟,سنگ‌نوردی,athlete,رضا علی‌پور ورزشکار سنگ‌نوردی است.,خیر,0
وحید گل‌خندان در جام جهانی ریودوژانیرو ۲۰۲۲ کدام مدال را کسب کرده است؟,نقره,athlete,وحید گل‌خندان در جام جهانی ریودوژانیرو ۲۰۲۲ مدال طلا کسب کرده است.,خیر,0
وحید سرلک در چه رشته‌ای شناخته می‌شود؟,رزمی,athlete,وحید سرلک در رشته فوتبال شناخته می‌شود.,خیر,0
یوسف وکیا بازیکن کدام تیم‌ها بوده است؟,فولاد و نفت مسجدسلیمان,athlete,یوسف وکیا بازیکن تیم‌های پرسپولیس و سپاهان بوده است.,خیر,0
هاروتیون آبراهامیان اهل کدام کشور است؟,ارمنستان,athlete,هاروتیون آبراهامیان اهل ایران است.,خیر,0
جمشید نصیری در کدام شهر ایران متولد شده است؟,خرمشهر,athlete,جمشید نصیری در شهر تهران متولد شده است.,خیر,0
رضا افتخاری در کدام رشته ورزشی شناخته می‌شود؟,فوتبال,athlete,رضا افتخاری در رشته ورزشی فوتبال شناخته می‌شود.,خیر,0
پوریا امینی در چه استانی متولد شده است؟,گیلانغرب,athlete,پوریا امینی در استان تهران متولد شده است.,خیر,0
حسن حبیبی در کدام شهر متولد شده است؟,کرمان,athlete,حسن حبیبی در شهر تهران متولد شده است.,خیر,0
