question,image_url,gold_answer,gold_answer_name,category,model_answer,judge,is_correct
این چهره ی چه کسی است؟,https://th.bing.com/th/id/R.f19cd7c574fb1ceb37d0dd7557333735?rik=lLL0kQFoooPrMA&pid=ImgRaw&r=0,علی دایی,علی دایی,athlete,این تصویر مربوط به علی دایی است.,بله,1
این چهره ی چه کسی است؟,https://tse3.mm.bing.net/th/id/OIP.jYgq1FpWPqXFzJozqYAbaAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,آرین سلیمی,آرین سلیمی,athlete,تشخیص چهره با توجه به تصویر ممکن نیست.,خیر,0
این چهره ی چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.HWeitJoEEB6czPH9_vBFnAAAAA?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,امیر عابدزاده، پرسپولیس,امیر عابدزاده,athlete,این تصویر مربوط به بازیکن تیم ملی فوتبال ایران است. بدون اطلاعات بیشتر، شناسایی دقیق ممکن نیست.,خیر,0
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://th.bing.com/th/id/R.57c6d4b5dd95b0ab883305644766e509?rik=pe6okxuixqaihQ&pid=ImgRaw&r=0,رزیتا علیپور، کاراته,رزیتا علیپور,athlete,این فرد احتمالاً کاراته‌کا است و در رشته کاراته فعالیت می‌کند.,بله,1
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTki6HUgVMRWmY45IOq6J4UztzI5P7hMyfaTg&s,حامد حدادی ، بسکتبال,حامد حدادی,athlete,این تصویر مربوط به سعید معروف، بازیکن والیبال ایران است.,خیر,0
این چهره ی چه کسی است و در کجا متولد شده است؟,https://tse1.mm.bing.net/th/id/OIP.nU_OzOvZ6YmVGsrnEwkJfAHaFk?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بهروز مکوندی، مسجدسلیمان,بهروز مکوندی,athlete,این تصویر مربوط به مجید جلالی، مربی فوتبال ایرانی است. او در تهران متولد شده است.,خیر,0
این فرد چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.99bDP9MqeM01dUFJwcS5JQHaGL?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,زهره کودایی سپاهان,زهره کودایی,athlete,این فرد دروازه‌بان تیم ملی فوتبال زنان ایران است.,خیر,0
این فرد چه کسی است؟,https://th.bing.com/th/id/R.0041d3d9cef0a1d121c4a610b90e36cc?rik=e5XMOU%2bP0YtBKw&riu=http%3a%2f%2fwww.parvaresheafkar.com%2fwp-content%2fuploads%2f2018%2f07%2fReza-Yazdani-24.jpg&ehk=6pBqo35rfX9r5HqlOSJJk06OEYe57NejQEbzbs%2fMfiQ%3d&risl=&pid=ImgRaw&r=0&sres=1&sresct=1,رضا یزدانی,رضا یزدانی,athlete,این تصویر مربوط به یک کشتی‌گیر ایرانی است، احتمالاً قهرمان ملی.,بله,1
این فرد چه کسی است و در چه رشته ای بازی میکند؟,https://tse1.mm.bing.net/th/id/OIP.UnmNcdG5ULdYoUDye-VChAHaFG?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رضا حقیقی فوتبال,رضا حقیقی,athlete,این تصویر مربوط به یک بازیکن فوتبال است که لباس تیم پرسپولیس را به تن دارد. اطلاعات دقیق‌تر مشخص نیست.,خیر,0
این فرد چه کسی است و در کجا متولد شده است؟,https://th.bing.com/th/id/R.187bbebdf8a9c7f626a0337b6229ccec?rik=uKkLXodBbhlH9Q&pid=ImgRaw&r=0,فرشاد احمدزاده ارومیه,فرشاد احمدزاده,athlete,این تصویر به دلیل وضوح ناکافی قابل شناسایی نیست.,خیر,0
فردی که در تصویر است چه کسی است در چه تیم هایی بازی کرده است؟,https://th.bing.com/th/id/R.70cd6788173c6370fe61bee178841b79?rik=vVEsG%2b4ek8FsVw&pid=ImgRaw&r=0&sres=1&sresct=1,علیرضا منصوریان بالستیر گیلانگ,علیرضا منصوریان,athlete,با توجه به تصویر و اطلاعات محدود، نمی‌توان به طور قطعی هویت فرد و تیم‌هایی که در آن بازی کرده است را مشخص کرد.,خیر,0
این استادبزرگ شطرنج در کجا متولد  شده است؟,https://tse3.mm.bing.net/th/id/OIP.y9VAAtWqiE2cGNB1H_2jXAHaFj?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,تهران,الشن مرادی,athlete,برای پاسخ دقیق نیاز به اطلاعات بیشتری است.,خیر,0
نام و رشته ی ورزشی این فرد چیست؟,https://www.wwe.com/f/styles/talent_champion_xl/public/all/2019/12/Ariya_Daivari_Pro--2478ed8b72ef28afc706786f23e365a5.png,آریا داوری کشتی,آریا داوری,athlete,اطلاعات کافی برای شناسایی فرد و رشته ورزشی وجود ندارد.,خیر,0
نام و سن این فرد چیست؟,https://tse3.mm.bing.net/th/id/OIP.O4akfyyFPkQpa0cF-ZwdhgHaEl?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی علیپور 29 سال,علی علیپور,athlete,این تصویر مربوط به بازیکن جدید پرسپولیس است، اما نام و سن فرد مشخص نیست.,خیر,0
فردی که در تصویر است چه کسی است؟,https://tse2.mm.bing.net/th/id/OIP.gvGKE6y8v7rzVLqEg-Q1ngHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی شفیعی,علی شفیعی,athlete,این فرد بازیکن تیم ملی والیبال ایران است.,خیر,0
نام و رشته ی ورزشی این فرد چیست؟,https://th.bing.com/th/id/R.27d5e77674dd8e33a13543d12cc74c14?rik=eki3Mdcb%2fEyL7Q&pid=ImgRaw&r=0,الهام فلاح والیبال,الهام فلاح,athlete,اطلاعات کافی برای شناسایی نام و رشته ورزشی این فرد وجود ندارد.,خیر,0
این چهره ی چه کسی است و در کجا متولد شده است؟,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRx9KQnt6kW9EWatppcJLGVtqkHF98prQ4aK5-4BBUTTTSDloJX,سردار آزمون گنبد کاووس,سردار آزمون,athlete,این تصویر مربوط به سردار آزمون است که در گنبد کاووس، ایران متولد شده است.,بله,1
نام و رشته ی ورزشی این فرد چیست؟,https://tse4.mm.bing.net/th/id/OIP.yCtnWvn5riSF3HrY-wsCBAHaFa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رامین رضاییان فوتبال,رامین رضاییان,athlete,این فرد بازیکن فوتبال است و به نظر می‌رسد از تیم استقلال باشد. نام او مشخص نیست.,خیر,0
این چهره ی چه کسی است؟,https://th.bing.com/th/id/R.c2a19d01aaae453d47e53eee49d895f1?rik=Z2Z5Yj%2f3vNBkvA&pid=ImgRaw&r=0,رحمان احمدی,رحمان احمدی,athlete,تشخیص چهره ممکن نیست.,خیر,0
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse1.mm.bing.net/th/id/OIP.eH2W9QEttNzFORPGnT5qmAHaHJ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رعنا آزادیور زخم کاری,رعنا آزادیور,art_music,متأسفم، با توجه به تصویر و چهره محو شده، شناسایی فرد و فیلم ممکن نیست.,خیر,0
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.wTv1ZDsK6QEbw3zhHMJdOAHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رضا عطاران کلید ازدواج,رضا عطاران,art_music,متأسفم، با توجه به تصویر ارائه‌شده نمی‌توانم نام فرد یا فیلمی که در آن ایفای نقش کرده است را تشخیص دهم.,خیر,0
این فرد کیست و در چه زمینه ای فعالیت داشته است؟,https://i.zamaneh.media/u/wp-content/uploads/2023/03/8sB1xib.jpeg?width=1600,نیما یوشیج شاعر,نیما یوشیج,poets,تشخیص فرد از روی تصویر ممکن نیست. لطفاً اطلاعات بیشتری ارائه دهید.,خیر,0
این فرد در چه فیلمی ایفای نقش کرده است؟,https://th.bing.com/th/id/OIP.h7ntoG76ILPRHNDIL9eX4QHaHa?r=0&o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=3,لذت گناه,,art_music,با توجه به تصویر، شناسایی فرد و فیلم ممکن نیست.,خیر,0
این فرد در چه زمینه ای فعالیت دارد و چه جایزه ای برده است؟,https://tse1.mm.bing.net/th/id/OIP.moUrQ-zi0k6Tg4eKzpK9IwHaJM?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بازیگر جایزه امی,شهره آغداشلو,art_music,این فرد احتمالاً در زمینه سینما یا تلویزیون فعالیت دارد و ممکن است جایزه‌ای مرتبط با این حوزه برده باشد. اطلاعات دقیق‌تر مشخص نیست.,بله,1
این فرد در چه زمینه ای فعالیت دارد و چه جایزه ای برده است؟,https://th.bing.com/th/id/R.8b4a52ba89961896d18613f35096e4b7?rik=lID6hxx8Fu7j7w&pid=ImgRaw&r=0&sres=1&sresct=1,ادبیات نامزد جایزه نوبل ادبیات,سیمین بهبهانی,poets,این فرد ممکن است در زمینه ادبیات، هنر یا فعالیت‌های اجتماعی شناخته شده باشد، اما اطلاعات کافی برای شناسایی دقیق و جایزه او وجود ندارد.,خیر,0
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse4.mm.bing.net/th/id/OIP.asCQmagGF0B8sBJH2rn8mAHaJO?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,الناز شاکردوست شبی که ماه کامل شد,الناز شاکردوست,art_music,تشخیص نام و فیلم این فرد با توجه به تصویر ممکن نیست.,خیر,0
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.wHlmXn_JJW9lhdz-RXvpXgHaKU?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,الهام حمیدی دو دوست,الهام حمیدی,art_music,متأسفم، با توجه به تصویر و چهره محو شده، شناسایی فرد و فیلم مرتبط ممکن نیست.,خیر,0
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse1.mm.bing.net/th/id/OIP.0SodOeiZfiitss2ADxrPngHaFJ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مازیار فلاحی خواننده,مازیار فلاحی,art_music,این تصویر مربوط به یک خواننده است که در حال اجرا روی صحنه می‌باشد. اطلاعات بیشتری از تصویر مشخص نیست.,خیر,0
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://th.bing.com/th/id/R.d2809c25a8599b09b8e020b498a83fd0?rik=1VGY1AJ3Y9lsVg&riu=http%3a%2f%2fwww.wikijoo.ir%2fimages%2fthumb%2ff%2ff0%2f41020400-1.jpg%2f600px-41020400-1.jpg&ehk=IOMjGjCOgkLoenDNsvUGYYzaZzcdKJzExP0u2cCr%2fxk%3d&risl=&pid=ImgRaw&r=0,اکبر هاشمی رفسنجانی سیاسی,اکبر هاشمی رفسنجانی,politicians,این تصویر مربوط به یک روحانی است، اما به دلیل محو بودن چهره، شناسایی دقیق ممکن نیست.,خیر,0
این فرد کیست و چه فعالیتی داشته است؟,https://static.wikia.nocookie.net/totalwar-ar/images/1/13/Mostafa_Chamran.jpg/revision/latest/smart/width/386/height/259?cb=20140713214752,مصطفی چمران، نماینده دوره نخست مجلس شورای اسلامی,مصطفی چمران,politicians,با توجه به تصویر و اطلاعات محدود، شناسایی فرد ممکن نیست.,خیر,0
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse2.mm.bing.net/th/id/OIP.OHU2Io2IHVVf2OXiZ8Cq_QHaHa?r=0&pid=ImgDet&w=474&h=474&rs=1&o=7&rm=3,میترا حجار بازیگر,میترا حجار,art_music,تشخیص هویت این فرد با توجه به تصویر ممکن نیست.,خیر,0
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,"https://cdn.rokna.net/thumbnail/72c525pG8oa3/yYGYIWiRH1jE7SFsFf8OS8GtVdPr30fs0wJj5HjN1IuvcJmljcN6H8bAsgVZzpzYCc2Paf9tWNy3TqJ7J2yYx6_iJ_9nS3dv9VaDD9pzMsmGiYQZhOmIlhgOn3kc4a2c2ldXQX3GVsuvtfuJ1_NwVg,,/%D9%81%D8%B1%DB%8C%D8%AF%D9%88%D9%86+%D9%81%D8%B1%D8%AE%D8%B2%D8%A7%D8%AF.jpg",فریدون فرخزاد شاعر,فریدون فرخزاد,poets,این تصویر مربوط به فردی است که هویتش مشخص نیست و اطلاعاتی درباره زمینه فعالیت او در دسترس نیست.,خیر,0
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://upload.wikimedia.org/wikipedia/commons/9/90/Leila_Hatami_in_2017_01.jpg,لیلا حاتمی رگ خواب,لیلا حاتمی,art_music,لطفاً تصویر را ارسال کنید تا بتوانم پاسخ دهم.,خیر,0
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.YVmg2rPvhMdatQt8aWucLAHaEK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مهناز افشار آتش بس,مهناز افشار,art_music,متأسفم، با توجه به تصویر و چهره محو شده، شناسایی فرد ممکن نیست.,خیر,0
این فرد چه کسی است و در چه زمینه ای فعالیت دارد؟,https://tse2.mm.bing.net/th/id/OIP.tlCNcmVIbFDNwmBhnWkOugHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بهرام رادان بازیگر,بهرام رادان,art_music,تشخیص فرد با توجه به تصویر ممکن نیست.,خیر,0
این فرد در چه فیلمی ایفای نقش کرده است؟,https://tse1.explicit.bing.net/th/id/OIP.iZg_c-rdLg_XVFNVUiR5AAHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,درباره الی,صابر ابر,art_music,تشخیص فرد و فیلم ممکن نیست.,خیر,0
این فرد در کجا ترور شده است؟,https://th.bing.com/th/id/R.eec2e9e3533f78d1841df0b43b9dca8c?rik=Jz0gZWC8VG8z6Q&riu=http%3a%2f%2fwww.iichs.ir%2fUpload%2fImage%2f139404%2fOrginal%2f1a43399f_b798_495b_9e50_79e2bd61a9a7.jpg&ehk=GuDDfeZ56jJuDGXnlEoN2QztolfdYVWoUwUM9K1BFbI%3d&risl=&pid=ImgRaw&r=0,در خانه اش,,politicians,این فرد در نجف ترور شده است.,خیر,0
این فرد در چه سالهایی رئیس جمهور بوده است؟,https://th.bing.com/th/id/R.f59e8a325435156a4f92daf8e4a2ac3c?rik=COt%2bmPO39g%2bTiw&pid=ImgRaw&r=0,رئیس‌جمهور ایران (1376 - 1384),سید محمد خاتمی,politicians,احتمالاً سید محمد خاتمی است؛ رئیس‌جمهور ایران از ۱۳۷۶ تا ۱۳۸۴.,بله,1
این فرد چه کسی است؟,https://tse4.mm.bing.net/th/id/OIP.8VXvn8OkoKC7BIj68MulpwHaKe?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,دومین رئیس‌جمهور ایران (11 اوت - 8 سپتامبر 1980). چهل و دومین نخست‌وزیر ایران (تا اوت 1980).,محمدعلی رجایی,politicians,تشخیص فرد با توجه به تصویر ممکن نیست.,خیر,0
این بازیگر چه جوایزی برده است؟,https://tse2.mm.bing.net/th/id/OIP.3BPkGZJwP4ErAuNEGHToGwHaEK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,کریمی برای «عروس» و «سارا» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرد,نیکی کریمی,art_music,با توجه به تصویر، شناسایی بازیگر و جوایز او ممکن نیست.,خیر,0
این بازیگر چه جوایزی برده است؟,https://th.bing.com/th/id/R.cd0ade9c5fe6de520fc7fefb708c477b?rik=0Q%2bx2IfC5z6m3w&pid=ImgRaw&r=0,موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول مرد از جشنواره فیلم فجر برای فیلم «قرمز» (1377) شده است,محمدرضا فروتن,art_music,این تصویر واضح نیست و نمی‌توان به طور قطعی بازیگر را شناسایی کرد.,خیر,0
این فرد کیست و چه ترانه هایی برای شادمهر عقیلی منتشر کرده است؟,https://th.bing.com/th/id/R.c564840e83062527b5ceb8c8c7be6063?rik=1LSLRM3rA%2bMe0g&riu=http%3a%2f%2fphotokade.com%2fwp-content%2fuploads%2fNiloofarLaripour-photokade-2.jpg&ehk=%2b0K90szSBPq0%2fpJmFX9X5WWZ80p%2fGzFJ%2bsxljsIoOwI%3d&risl=&pid=ImgRaw&r=0,شاعر، ترانه‌سرا و روزنامه‌نگار ایرانی است. او ترانه‌هایی مانند «بهار لبخند» (1371)، «پر پرواز»، «شب برهنه»، «دل دیوونه (شادمهر عقیلی)»، «آغوش (شادمهر عقیلی)»، «تن تو (شادمهر عقیلی)»، «قبیله (شادمهر عقیلی)»، «قفس (شادمهر عقیلی)»، «عطر شبنم (شادمهر عقیلی)» و «تو بینهایت شب (شادمهر عقیلی)» منتشر کرده است,,art_music,با توجه به تصویر و اطلاعات موجود، شناسایی فرد و ارتباط او با شادمهر عقیلی ممکن نیست.,خیر,0
این خواننده در چه سریال هایی بازی کرده است؟,https://th.bing.com/th/id/R.9066073cb3ce0030962ee24129b9903f?rik=GR4DWxquvBGyHA&pid=ImgRaw&r=0,در سریال‌هایی مانند «عاشقانه» و «مانکن» بازی کرد,فرزاد فرزین,art_music,با توجه به تصویر، اطلاعات کافی برای شناسایی خواننده و سریال‌های او وجود ندارد.,خیر,0
این بازیگر در چه فیلم هایی نقش آفرینی کرده است؟,https://th.bing.com/th?id=OIF.NvKU%2fgYlktDgUZMHWOqNcg&r=0&rs=1&pid=ImgDetMain&o=7&rm=3,او در فیلم‌هایی مانند «ماجرای نیمروز» در سال 1395، «اتوبوس شب» در سال 1385، و «قاعده تصادف» در سال 1391 نقش‌آفرینی کرده است,مهرداد صدیقیان,art_music,تشخیص بازیگر از تصویر ممکن نیست. لطفاً نام یا اطلاعات بیشتری ارائه دهید.,خیر,0
این فرد چه آلبوم هایی دارد؟,https://th.bing.com/th/id/R.28543d95d7ffce6ee22e9cfcdc77b545?rik=3P%2biVy9U7NGz6g&pid=ImgRaw&r=0,او با آلبوم‌هایی چون «نسیم وصل» (1382)، «ایران من» (1398) و همکاری با پدرش محمدرضا شجریان فعالیت کرده است,همایون شجریان,art_music,با توجه به تصویر، شناسایی فرد و آلبوم‌های او ممکن نیست.,خیر,0
این شاعر در چه سالی درگذشت؟,https://tse2.mm.bing.net/th/id/OIP.ExDlWxIGjqpW6nD6ng3t1gHaFL?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,براهنی در 5 فروردین 1401 درگذشت,رضا براهنی,poets,با توجه به تصویر، نمی‌توان به طور قطعی پاسخ داد. لطفاً اطلاعات بیشتری ارائه دهید.,خیر,0
این فرد کیست و در چه سالی درگذشت؟,https://tse3.mm.bing.net/th/id/OIP.D05hnHmRRtotHo6HhQeotwHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,قیصر امین‌پور، شاعر دوره پهلوی و جمهوری اسلامی، در سال 1338 شمسی در گتوند زاده شد و در سال 1386 شمسی در تهران درگذشت.,قیصر امین‌پور,poets,این تصویر به دلیل وضوح ناکافی قابل شناسایی نیست.,خیر,0
آرامگاه این فرد در کجا قرار دارد؟,https://tse1.mm.bing.net/th/id/OIP.FOHfuDG4QTNnNTeeiYXF_gHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,او در 2 اردیبهشت 1330 خورشیدی در تهران درگذشت و آرامگاهش در شمیران قرار دارد,محمدتقی بهار,poets,اطلاعات کافی برای پاسخ دقیق وجود ندارد.,خیر,0
