question,gold_answer,model_answer,judge,is_correct,category
حبیب‌الله بلور در کدام رشته ورزشی فعالیت داشت؟,کشتی,کشتی.,بله,True,athlete
بهرنگ صفری در چه سالی متولد شده است؟,۱۳۶۳,بهرنگ صفری در سال ۱۹۸۵ میلادی (۱۳۶۴ شمسی) متولد شده است.,خیر,False,athlete
عبدالله موحد چند مدال جهانی کسب کرده است؟,۵,عبدالله موحد ۶ مدال طلای جهانی در کشتی آزاد کسب کرده است.,خیر,False,athlete
لوون کورکچیان مدال طلای خود را در کدام رقابت کسب کرده است؟,بازی‌های آسیایی ۱۹۵۱ دهلی نو,لوون کورکچیان مدال طلای خود را در رقابت‌های وزنه‌برداری کسب کرده است.,خیر,False,athlete
علیرضا حقی در چه ماهی متولد شده است؟,فوریهٔ ۱۹۷۹,اطلاعاتی درباره ماه تولد علیرضا حقی در دسترس نیست.,خیر,False,athlete
زوونیمیر سولدو در کدام کشور متولد شده است؟,کرواسی,کرواسی.,بله,True,athlete
محراب شاهرخی در چه سالی درگذشته است؟,۱۳۷۱,محراب شاهرخی در سال 1361 درگذشته است.,خیر,False,athlete
وزن محمد جمشیدی چند کیلوگرم است؟,۸۰,اطلاعات دقیقی در مورد وزن محمد جمشیدی در دسترس نیست.,خیر,False,athlete
مجتبی گلیج در کدام شهر متولد شده است؟,تنکابن,ساری.,خیر,False,athlete
قد ایمان موسوی چند است؟,۱/۸۴,اطلاعات دقیقی درباره قد ایمان موسوی در دسترس نیست.,خیر,False,athlete
الهام فلاح در چه رشته‌ای فعالیت دارد؟,والیبال,الهام فلاح نویسنده و داستان‌نویس است.,خیر,False,athlete
ناصر حجازی در کدام تیم ها بازی کرده است؟,استقلال و منچستر یونایتد,"ناصر حجازی در تیم‌های زیر بازی کرده است:  
1. تاج (استقلال)  
2. شهباز  
3. بانک ملی  
4. منتخب تهران  
5. تیم ملی ایران",خیر,False,athlete
امیرعلی صادقی در کدام تیم‌ها بازی کرده است؟,سایپا و استقلال,امیرعلی صادقی در تیم‌های سایپا و استقلال بازی کرده است.,بله,True,athlete
مهتاب رحمانی ورزشکار کدام رشته است؟,والیبال,اطلاعاتی درباره مهتاب رحمانی به عنوان ورزشکار در دسترس نیست.,خیر,False,athlete
بهتاش فریبا در چه شهری متولد شده است؟,تهران,بهتاش فریبا در شهر رشت متولد شده است.,خیر,False,athlete
صمد پورسیدی در چه رشته‌ای فعالیت دارد؟,دوچرخه‌سواری,صمد پورسیدی در رشته دوچرخه‌سواری فعالیت دارد.,بله,True,athlete
عبدالواحد خنجی در کدام شهر و کشور متولد شده است؟,منامه بحرین,عبدالواحد خنجی در شهر خنج، ایران متولد شده است.,خیر,False,athlete
بیژن طاهری بازیکن کدام رشته است؟,فوتبال,فوتبال.,بله,True,athlete
علی مرادی در چه رشته‌ای ورزشکار است؟,وزنه‌برداری,علی مرادی در رشته وزنه‌برداری ورزشکار است.,بله,True,athlete
رضا علی‌پور ورزشکار کدام رشته است؟,سنگ‌نوردی,رضا علی‌پور ورزشکار رشته سنگ‌نوردی است.,بله,True,athlete
وحید گل‌خندان در جام جهانی ریودوژانیرو ۲۰۲۲ کدام مدال را کسب کرده است؟,نقره,جام جهانی ریودوژانیرو ۲۰۲۲ برگزار نشده است؛ احتمالاً اطلاعات نادرست است.,خیر,False,athlete
وحید سرلک در چه رشته‌ای شناخته می‌شود؟,رزمی,وحید سرلک در رشته جودو شناخته می‌شود.,بله,True,athlete
یوسف وکیا بازیکن کدام تیم‌ها بوده است؟,فولاد و نفت مسجدسلیمان,یوسف وکیا بازیکن تیم‌های فولاد خوزستان و گل‌گهر سیرجان بوده است.,خیر,False,athlete
هاروتیون آبراهامیان اهل کدام کشور است؟,ارمنستان,هاروتیون آبراهامیان اهل ارمنستان است.,بله,True,athlete
جمشید نصیری در کدام شهر ایران متولد شده است؟,خرمشهر,اطلاعات دقیقی در مورد محل تولد جمشید نصیری در دسترس نیست.,خیر,False,athlete
رضا افتخاری در کدام رشته ورزشی شناخته می‌شود؟,فوتبال,رضا افتخاری در رشته فوتسال و فوتبال شناخته می‌شود.,بله,True,athlete
پوریا امینی در چه استانی متولد شده است؟,گیلانغرب,اطلاعاتی در مورد محل تولد پوریا امینی در دسترس نیست.,خیر,False,athlete
حسن حبیبی در کدام شهر متولد شده است؟,کرمان,تهران.,خیر,False,athlete
زینب گیوه بازیکن والیبال ایرانی در کدام پست فعالیت می‌کند؟,دریافت‌کننده قدرتی,زینب گیوه در پست دریافت‌کننده قدرتی فعالیت می‌کند.,بله,True,athlete
حسین مهربان بازیکن کدام تیم‌ها بوده است؟,پدیده و فجر سپاسی,حسین مهربان بازیکن تیم‌های پدیده مشهد (شهرخودرو) و نساجی مازندران بوده است.,خیر,False,athlete
علی پاکدامن در جام جهانی گرجستان ۲۰۲۴ کدام مدال را کسب کرده است؟,نقره,اطلاعاتی در این مورد موجود نیست. لطفاً منابع جدیدتر را بررسی کنید.,خیر,False,athlete
الهام حسینی در چه رشته‌ای فعالیت دارد؟,وزنه‌برداری,الهام حسینی در رشته وزنه‌برداری فعالیت دارد.,بله,True,athlete
رضا مؤمنی در کدام شهر متولد شده است؟,قائمشهر,اطلاعاتی درباره محل تولد رضا مؤمنی در دسترس نیست.,خیر,False,athlete
رضا نوروزی در چه شهری متولد شده است؟,ایذه,رضا نوروزی در شهر ایذه متولد شده است.,بله,True,athlete
مجید ترکان ورزشکار کدام رشته است؟,کشتی,کشتی.,بله,True,athlete
ایوان مارکوویچ هافبک ذوب‌آهن در فوتبال فعالیت خود را با چه تیمی آغاز کرد؟,ستاره سرخ بلگراد,ایوان مارکوویچ فعالیت حرفه‌ای خود را با تیم پارتیزان بلگراد آغاز کرد.,خیر,False,athlete
گلنوش خسروی در کدام شهر به متولد شده است؟,اصفهان,اصفهان.,بله,True,athlete
فرنوش شیخی در کدام رشته ورزشی فعالیت دارد؟,والیبال,فرنوش شیخی در رشته والیبال فعالیت دارد.,بله,True,athlete
سارا شیربیگی ورزشکار کدام رشته است؟,فوتسال,فوتسال.,بله,True,athlete
هاجر صفرزاده در کدام رقابت مدال گرفته است؟,پارالمپیک پاریس ۲۰۲۴,اطلاعات دقیقی درباره هاجر صفرزاده و رقابت‌های او در دسترس نیست. لطفاً جزئیات بیشتری ارائه دهید.,خیر,False,athlete
مهدی تیکدری سالاری در کدام رشته فعال است؟,فوتبال,فوتبال.,بله,True,athlete
شجاع خلیل‌زاده در کدام تیم‌ها بازی کرده است؟,پرسپولیس و الریان,شجاع خلیل‌زاده در تیم‌های مس کرمان، سپاهان، تراکتور، پرسپولیس، الریان قطر و الاهلی قطر بازی کرده است.,خیر,False,athlete
مهدی خدابخشی در چه رشته‌ای فعالیت دارد؟,رزمی,مهدی خدابخشی در رشته تکواندو فعالیت دارد.,بله,True,athlete
علی دایی در کدام تیم‌های اروپایی بازی کرده است؟,بایرن مونیخ و هرتابرلین,علی دایی در تیم‌های اروپایی آرمینیا بیله‌فلد، بایرن مونیخ و هرتابرلین بازی کرده است.,خیر,False,athlete
عباس زندی در کدام رشته ورزشی مدال‌های متعددی کسب کرده است؟,کشتی,کشتی.,بله,True,athlete
عزت‌الله اکبری در چه سالی متولد شده است؟,۱۳۷۱,عزت‌الله اکبری در سال ۱۳۷۱ متولد شده است.,بله,True,athlete
قد میربابک موسوی، ورزشکار والیبال چند است؟,۱٫۹۴,اطلاعات دقیقی درباره قد میربابک موسوی در دسترس نیست.,خیر,False,athlete
کریم انصاری‌فرد در کدام کشور متولد شده است؟,ایران,ایران.,بله,True,athlete
کدام بازیگر در فیلم من و دبورا بازی کرده است؟,مریلا زارعی,"فیلم ""من و دبورا"" ساخته اصغر نصیری است و بازیگر اصلی آن نیما شاهرخ‌شاهی است.",خیر,False,art_music
کدام فرد برای کارگردانی فیلم خوابم میآید سیمرغ بلورین دریافت کرده است؟,رضا عطاران,رضا عطاران.,بله,True,art_music
کدام فرد برای بازی در فیلم سنتوری جایزه بهترین بازیگر مرد را در جشنواره فجر دریافت کرده است؟,بهرام رادان,بهرام رادان.,بله,True,art_music
محسن تنابنده در چه سالی متولد شده است؟,1354,محسن تنابنده در سال 1354 متولد شده است.,بله,True,art_music
روزبه بمانی در چه حیطه ای فعالیت میکند؟,خوانندگی,روزبه بمانی در حیطه ترانه‌سرایی و خوانندگی فعالیت می‌کند.,خیر,False,art_music
سهراب سپهری در کجا متولد شده است؟,قم,کاشان.,خیر,False,poets
کدام شاعر معروف به نیمای غزل است؟,سیمین بهبهانی,حسین منزوی.,خیر,False,poets
شاعر معروف به تاج الشعرا در ابتدا در کجا دفن شد؟,مسجد جامع سامان,تاج‌الشعرا، ایرج میرزا، در ابتدا در گورستان ظهیرالدوله تهران دفن شد.,خیر,False,poets
آثار فروغ فرخزاد کدام است؟,تولدی دیگر,"آثار فروغ فرخزاد عبارت‌اند از:  
1. اسیر  
2. دیوار  
3. عصیان  
4. تولدی دیگر  
5. ایمان بیاوریم به آغاز فصل سرد",خیر,False,poets
اولین زن ایرانی در فضا چه کسی است؟,انوشه انصاری,انوشه انصاری.,بله,True,scientists
مفتاح الفتاح از چه کسی منتشر شده است؟,شیخ بهایی,مفتاح الفتاح اثری از ملاصدرا است.,خیر,False,scientists
پدر فیزیک ایران چه کسی است؟,محمود حسابی,پدر فیزیک ایران دکتر محمود حسابی است.,بله,True,scientists
اولین زن برنده ی مدال فیلدر چه کسی است؟,مریم میرزاخانی,"اولین زن برنده مدال فیلدز ""مریم میرزاخانی"" ریاضی‌دان ایرانی بود که در سال ۲۰۱۴ این مدال را دریافت کرد.",بله,True,scientists
جمشید هاشمپور در چه دهه ای فعالیت خود را آغاز کرده است؟,1360,جمشید هاشم‌پور فعالیت خود را در دهه ۱۳۴۰ آغاز کرد.,خیر,False,art_music
کدام بازیگر در سال 1396 برنده سیمرغ بلورین بهترین بازیگر نقش مکمل زن در جشنواره فیلم فجر شد؟,سحر دولتشاهی,ثریا قاسمی برای فیلم «ویلایی‌ها».,خیر,False,art_music
نامزد بهترین بازیگر نقش اول زن در جشنواره فیلم فجر برای «سعادت‌آباد» که بود؟,مهناز افشار,لیلا حاتمی.,خیر,False,art_music
دایره المعارف شیطان اثر کیست؟,ابراهیم نبوی,دایره‌المعارف شیطان اثری از **امبرتو اکو** است.,خیر,False,poets
