question,gold_answer,category,model_answer,judge,is_correct
حبیب‌الله بلور در کدام رشته ورزشی فعالیت داشت؟,کشتی,athlete,کشتی.,بله,1
بهرنگ صفری در چه سالی متولد شده است؟,۱۳۶۳,athlete,بهرنگ صفری در سال ۱۹۸۵ میلادی (۱۳۶۴ شمسی) متولد شده است.,خیر,0
عبدالله موحد چند مدال جهانی کسب کرده است؟,۵,athlete,عبدالله موحد ۶ مدال طلای جهانی در کشتی آزاد کسب کرده است.,خیر,0
لوون کورکچیان مدال طلای خود را در کدام رقابت کسب کرده است؟,بازی‌های آسیایی ۱۹۵۱ دهلی نو,athlete,لوون کورکچیان مدال طلای خود را در رقابت‌های وزنه‌برداری کسب کرده است.,خیر,0
علیرضا حقی در چه ماهی متولد شده است؟,فوریهٔ ۱۹۷۹,athlete,اطلاعاتی درباره ماه تولد علیرضا حقی در دسترس نیست.,خیر,0
زوونیمیر سولدو در کدام کشور متولد شده است؟,کرواسی,athlete,کرواسی.,بله,1
محراب شاهرخی در چه سالی درگذشته است؟,۱۳۷۱,athlete,محراب شاهرخی در سال 1361 درگذشته است.,خیر,0
وزن محمد جمشیدی چند کیلوگرم است؟,۸۰,athlete,اطلاعات دقیقی در مورد وزن محمد جمشیدی در دسترس نیست.,خیر,0
مجتبی گلیج در کدام شهر متولد شده است؟,تنکابن,athlete,ساری.,خیر,0
قد ایمان موسوی چند است؟,۱/۸۴,athlete,اطلاعات دقیقی درباره قد ایمان موسوی در دسترس نیست.,خیر,0
الهام فلاح در چه رشته‌ای فعالیت دارد؟,والیبال,athlete,الهام فلاح نویسنده و داستان‌نویس است.,خیر,0
ناصر حجازی در کدام تیم ها بازی کرده است؟,استقلال و منچستر یونایتد,athlete,"ناصر حجازی در تیم‌های زیر بازی کرده است:  
1. تاج (استقلال)  
2. شهباز  
3. بانک ملی  
4. منتخب تهران  
5. تیم ملی ایران",خیر,0
امیرعلی صادقی در کدام تیم‌ها بازی کرده است؟,سایپا و استقلال,athlete,امیرعلی صادقی در تیم‌های سایپا و استقلال بازی کرده است.,بله,1
مهتاب رحمانی ورزشکار کدام رشته است؟,والیبال,athlete,اطلاعاتی درباره مهتاب رحمانی به عنوان ورزشکار در دسترس نیست.,خیر,0
بهتاش فریبا در چه شهری متولد شده است؟,تهران,athlete,بهتاش فریبا در شهر رشت متولد شده است.,خیر,0
صمد پورسیدی در چه رشته‌ای فعالیت دارد؟,دوچرخه‌سواری,athlete,صمد پورسیدی در رشته دوچرخه‌سواری فعالیت دارد.,بله,1
