question,image_url,gold_answer,predicted_option,is_correct,category
این چهره ی چه کسی است؟,https://tse3.mm.bing.net/th/id/OIP.jYgq1FpWPqXFzJozqYAbaAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,آرین سلیمی,امیر یاوری,False,athlete
این چهره ی چه کسی است و در کجا متولد شده است؟,https://tse1.mm.bing.net/th/id/OIP.nU_OzOvZ6YmVGsrnEwkJfAHaFk?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بهروز مکوندی، مسجدسلیمان,جاسم امیری، تهران,False,athlete
این فرد چه کسی است؟,https://th.bing.com/th/id/R.0041d3d9cef0a1d121c4a610b90e36cc?rik=e5XMOU%2bP0YtBKw&riu=http%3a%2f%2fwww.parvaresheafkar.com%2fwp-content%2fuploads%2f2018%2f07%2fReza-Yazdani-24.jpg&ehk=6pBqo35rfX9r5HqlOSJJk06OEYe57NejQEbzbs%2fMfiQ%3d&risl=&pid=ImgRaw&r=0&sres=1&sresct=1,رضا یزدانی,حمید درخشان,False,athlete
فردی که در تصویر است چه کسی است در چه تیم هایی بازی کرده است؟,https://th.bing.com/th/id/R.70cd6788173c6370fe61bee178841b79?rik=vVEsG%2b4ek8FsVw&pid=ImgRaw&r=0&sres=1&sresct=1,علیرضا منصوریان بالستیر گیلانگ,علیرضا منصوریان پارس شتاتآیزن,False,athlete
فردی که در تصویر است چه کسی است؟,https://tse2.mm.bing.net/th/id/OIP.gvGKE6y8v7rzVLqEg-Q1ngHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی شفیعی,حجت صدقی,False,athlete
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.wTv1ZDsK6QEbw3zhHMJdOAHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رضا عطاران کلید ازدواج,پرویز پرستویی دیار عاشقان,False,art_music
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.wHlmXn_JJW9lhdz-RXvpXgHaKU?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,الهام حمیدی دو دوست,مهناز افشار آتش بس,False,art_music
کدام گزاره درباره ی این فرد صحیح است؟,https://tse4.mm.bing.net/th/id/OIP.5ronTcCLOqQbpQzR7u9T1QHaGh?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت,او با سریال «پایتخت» (1390)، فیلم «یه حبه قند» (1390) و تئاترهایی مانند «آن سوی آینه» (1397) شهرت دارد,False,art_music
کدام گزاره درباره ی این فرد صحیح است؟,https://tse4.mm.bing.net/th/id/OIP.baWaOo-ZFMv-aR9eZot_VQHaFZ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,در سال 1394 برنده جایزه بهترین بازیگر زن در جشن حافظ برای «شهرزاد» شد,او با سریال «پایتخت» (1390)، فیلم «یه حبه قند» (1390) و تئاترهایی مانند «آن سوی آینه» (1397) شهرت دارد,False,art_music
کدام گزاره درباره ی این فرد صحیح است؟,https://tse1.explicit.bing.net/th/id/OIP.Glx3Z6PX8Bki-6QhbySrmQHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,برای تیتراژ سریال‌هایی مانند «قلب یخی» (1389) و «آسپرین» (1395) آهنگ اجرا کرد و به دلیل ترانه‌های عاشقانه و اجتماعی‌اش محبوبیت زیادی کسب کرد,او با سریال «پایتخت» (1390)، فیلم «یه حبه قند» (1390) و تئاترهایی مانند «آن سوی آینه» (1397) شهرت دارد,False,art_music
