question,image_url,top1_name,top2_name,top3_name,chosen_name,chosen_top,hit_at,pred_answer,evidence,dists,note
این فرد کیست و در چه زمینه ای فعالیت داشته است؟,https://th.bing.com/th/id/R.160f7eae6c078d2470d8ddaf9ac63852?rik=PAp6KjqSKQI7DQ&pid=ImgRaw&r=0,نیما یوشیج,نیما یوشیج,نادر ابراهیمی,نیما یوشیج,top1,1,نیما یوشیج شاعر,نیما یوشیج، معروف به علی اسفندیاری و پدر شعر نو، در 21 آبان 1276 در یوش، استان مازندران، متولد شد. او به عنوان شاعر و نویسنده فعالیت می‌کرد و آثاری چون افسانه، ای شب، ققنوس، غراب و روجا از او به جا مانده است.,cand1:0.783 | cand2:0.783 | cand3:1.436,
این چهره ی چه کسی است؟,https://th.bing.com/th/id/R.f19cd7c574fb1ceb37d0dd7557333735?rik=lLL0kQFoooPrMA&pid=ImgRaw&r=0,علی دایی,رسول خادم,علیرضا بیرانوند,علی دایی,top1,1,علی دایی,علی دایی، ورزشکار فوتبال، در تاریخ 1 فروردین 1348 (56 سال) در اردبیل متولد شده است,cand1:0.628 | cand2:1.134 | cand3:1.385,
این چهره ی چه کسی است؟,https://tse3.mm.bing.net/th/id/OIP.jYgq1FpWPqXFzJozqYAbaAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,آرین سلیمی,امیر معماری,علی رحیمی کازرونی,آرین سلیمی,top1,1,آرین سلیمی,آرین سلیمی، ورزشکار تکواندو، در تاریخ 25 آذر 1382 (21 سال) در کرمانشاه متولد شده است,cand1:0.777 | cand2:1.391 | cand3:1.452,
این چهره ی چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.HWeitJoEEB6czPH9_vBFnAAAAA?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,امیر عابدزاده,احمدرضا عابدزاده,محمدجواد محمدی,امیر عابدزاده,top1,1,امیر عابدزاده، پرسپولیس,این تصویر متعلق به امیر عابدزاده است. این بیوگرافی برای اوست: امیر عابدزاده، ورزشکار فوتبال، در تاریخ 6 اردیبهشت 1372 (32 سال) [1] در تهران، ایران متولد شده است، قد ایشان 1، 85 متر (6 فوت 1 اینچ) [1] است، در تیم‌های لس‌آنجلس بلوز، لس‌آنجلس، پرسپولیس، راه‌آهن، باریرنسه، ماریتیمو، پونفرادینا، ماریتیمو و کاستیون بازی کرده است.,cand1:0.680 | cand2:1.312 | cand3:1.441,
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://th.bing.com/th/id/R.57c6d4b5dd95b0ab883305644766e509?rik=pe6okxuixqaihQ&pid=ImgRaw&r=0,رزیتا علی‌پور,الهه احمدی,حمیده عباسعلی,,none,0,,,cand1:1.024 | cand2:1.300 | cand3:1.405,
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://tse3.mm.bing.net/th/id/OIP.1SroD7i6k-t2T7z7T8ulsAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,حامد حدادی,وانه خچومیان,نیما عالمیان,حامد حدادی,top1,1,حامد حدادی ، بسکتبال,حامد حدادی، ورزشکار بسکتبال، در تاریخ 29 اردیبهشت 1364 (39 سال) در اهواز متولد شده است,cand1:0.877 | cand2:1.420 | cand3:1.424,
این چهره ی چه کسی است و در کجا متولد شده است؟,https://tse1.mm.bing.net/th/id/OIP.nU_OzOvZ6YmVGsrnEwkJfAHaFk?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بهروز مکوندی,بهروز وثوقی,جاسم امیری,بهروز مکوندی,top1,1,بهروز مکوندی، مسجدسلیمان,بهروز مکوندی، ورزشکار فوتبال، در تاریخ 23 اوت 1963 (61 سال) در مسجدسلیمان، ایران متولد شده است,cand1:0.738 | cand2:1.374 | cand3:1.377,
این فرد چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.99bDP9MqeM01dUFJwcS5JQHaGL?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,زهره کودایی,سعید صادقی,ساره جوانمردی,زهره کودایی,top1,1,زهره کودایی سپاهان,زهره کودایی، ورزشکار فوتبال، در تاریخ 3 آذر 1368 در سپاهان متولد شده است، در تیم‌های شهرداری بم، شهرداری سنندج، پاس همدان، سپاهان و ذوب‌آهن بازی کرده است.,cand1:0.849 | cand2:1.474 | cand3:1.355,
این فرد چه کسی است؟,https://th.bing.com/th/id/R.0041d3d9cef0a1d121c4a610b90e36cc?rik=e5XMOU%2bP0YtBKw&riu=http%3a%2f%2fwww.parvaresheafkar.com%2fwp-content%2fuploads%2f2018%2f07%2fReza-Yazdani-24.jpg&ehk=6pBqo35rfX9r5HqlOSJJk06OEYe57NejQEbzbs%2fMfiQ%3d&risl=&pid=ImgRaw&r=0&sres=1&sresct=1,رضا یزدانی,رضا یزدان‌دوست,حسین کریمی,,none,0,,,cand1:1.398 | cand2:1.442 | cand3:1.424,
این فرد چه کسی است و در چه رشته ای بازی میکند؟,https://tse1.mm.bing.net/th/id/OIP.UnmNcdG5ULdYoUDye-VChAHaFG?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رضا حقیقی,رضا صفایی,ایمان شوریابی,رضا حقیقی,top1,1,رضا حقیقی فوتبال,رضا حقیقی، ورزشکار فوتبال,cand1:0.708 | cand2:1.305 | cand3:1.371,
