set,category,n,accuracy
text_mcq,scientists,4,1.0
text_mcq,politicians,3,0.6666666666666666
text_mcq,poets,11,0.6363636363636364
text_mcq,art_music,24,0.5416666666666666
text_mcq,athlete,48,0.5208333333333334
uni_noopt,scientists,9,0.5555555555555556
uni_noopt,art_music,31,0.4838709677419355
uni_noopt,athlete,48,0.4583333333333333
uni_noopt,politicians,10,0.4
uni_noopt,poets,12,0.25
multi_mcq,poets,6,0.8333333333333334
multi_mcq,politicians,5,0.8
multi_mcq,athlete,20,0.75
multi_mcq,art_music,19,0.47368421052631576
multi_noopt,athlete,19,0.21052631578947367
multi_noopt,politicians,5,0.2
multi_noopt,art_music,19,0.05263157894736842
multi_noopt,poets,7,0.0
