question,gold_answer,predicted_option,is_correct,category
عبدالله موحد چند مدال جهانی کسب کرده است؟,۵,۳,False,athlete
لوون کورکچیان مدال طلای خود را در کدام رقابت کسب کرده است؟,بازی‌های آسیایی ۱۹۵۱ دهلی نو,المپیک ۱۹۵۲ هلسینکی,False,athlete
مجتبی گلیج در کدام شهر متولد شده است؟,تنکابن,رشت,False,athlete
الهام فلاح در چه رشته‌ای فعالیت دارد؟,والیبال,کاراته,False,athlete
امیرعلی صادقی در کدام تیم‌ها بازی کرده است؟,سایپا و استقلال,پیکان و نساجی,False,athlete
مهتاب رحمانی ورزشکار کدام رشته است؟,والیبال,کاراته,False,athlete
صمد پورسیدی در چه رشته‌ای فعالیت دارد؟,دوچرخه‌سواری,کشتی,False,athlete
عبدالواحد خنجی در کدام شهر و کشور متولد شده است؟,منامه بحرین,سیستان و بلوچستان ایران,False,athlete
وحید گل‌خندان در جام جهانی ریودوژانیرو ۲۰۲۲ کدام مدال را کسب کرده است؟,نقره,هیچکدام,False,athlete
وحید سرلک در چه رشته‌ای شناخته می‌شود؟,رزمی,کشتی,False,athlete
