question,gold_answer,predicted_option,is_correct,category
حبیب‌الله بلور در کدام رشته ورزشی فعالیت داشت؟,کشتی,کشتی,True,athlete
بهرنگ صفری در چه سالی متولد شده است؟,۱۳۶۳,۱۳۶۳,True,athlete
عبدالله موحد چند مدال جهانی کسب کرده است؟,۵,۳,False,athlete
لوون کورکچیان مدال طلای خود را در کدام رقابت کسب کرده است؟,بازی‌های آسیایی ۱۹۵۱ دهلی نو,المپیک ۱۹۵۲ هلسینکی,False,athlete
علیرضا حقی در چه ماهی متولد شده است؟,فوریهٔ ۱۹۷۹,فوریهٔ ۱۹۷۹,True,athlete
زوونیمیر سولدو در کدام کشور متولد شده است؟,کرواسی,کرواسی,True,athlete
محراب شاهرخی در چه سالی درگذشته است؟,۱۳۷۱,۱۳۷۱,True,athlete
وزن محمد جمشیدی چند کیلوگرم است؟,۸۰,۸۰,True,athlete
مجتبی گلیج در کدام شهر متولد شده است؟,تنکابن,رشت,False,athlete
قد ایمان موسوی چند است؟,۱/۸۴,۱/۸۴,True,athlete
الهام فلاح در چه رشته‌ای فعالیت دارد؟,والیبال,کاراته,False,athlete
ناصر حجازی در کدام تیم ها بازی کرده است؟,استقلال و منچستر یونایتد,استقلال و منچستر یونایتد,True,athlete
امیرعلی صادقی در کدام تیم‌ها بازی کرده است؟,سایپا و استقلال,پیکان و نساجی,False,athlete
مهتاب رحمانی ورزشکار کدام رشته است؟,والیبال,کاراته,False,athlete
بهتاش فریبا در چه شهری متولد شده است؟,تهران,تهران,True,athlete
صمد پورسیدی در چه رشته‌ای فعالیت دارد؟,دوچرخه‌سواری,کشتی,False,athlete
عبدالواحد خنجی در کدام شهر و کشور متولد شده است؟,منامه بحرین,سیستان و بلوچستان ایران,False,athlete
بیژن طاهری بازیکن کدام رشته است؟,فوتبال,فوتبال,True,athlete
علی مرادی در چه رشته‌ای ورزشکار است؟,وزنه‌برداری,وزنه‌برداری,True,athlete
رضا علی‌پور ورزشکار کدام رشته است؟,سنگ‌نوردی,سنگ‌نوردی,True,athlete
وحید گل‌خندان در جام جهانی ریودوژانیرو ۲۰۲۲ کدام مدال را کسب کرده است؟,نقره,هیچکدام,False,athlete
وحید سرلک در چه رشته‌ای شناخته می‌شود؟,رزمی,کشتی,False,athlete
یوسف وکیا بازیکن کدام تیم‌ها بوده است؟,فولاد و نفت مسجدسلیمان,فولاد و نفت مسجدسلیمان,True,athlete
هاروتیون آبراهامیان اهل کدام کشور است؟,ارمنستان,ارمنستان,True,athlete
جمشید نصیری در کدام شهر ایران متولد شده است؟,خرمشهر,تهران,False,athlete
رضا افتخاری در کدام رشته ورزشی شناخته می‌شود؟,فوتبال,کشتی,False,athlete
پوریا امینی در چه استانی متولد شده است؟,گیلانغرب,رشت,False,athlete
حسن حبیبی در کدام شهر متولد شده است؟,کرمان,شیراز,False,athlete
زینب گیوه بازیکن والیبال ایرانی در کدام پست فعالیت می‌کند؟,دریافت‌کننده قدرتی,دریافت‌کننده قدرتی,True,athlete
حسین مهربان بازیکن کدام تیم‌ها بوده است؟,پدیده و فجر سپاسی,پدیده و فجر سپاسی,True,athlete
علی پاکدامن در جام جهانی گرجستان ۲۰۲۴ کدام مدال را کسب کرده است؟,نقره,هیچکدام,False,athlete
الهام حسینی در چه رشته‌ای فعالیت دارد؟,وزنه‌برداری,فوتبال,False,athlete
رضا مؤمنی در کدام شهر متولد شده است؟,قائمشهر,قائمشهر,True,athlete
رضا نوروزی در چه شهری متولد شده است؟,ایذه,ایذه,True,athlete
مجید ترکان ورزشکار کدام رشته است؟,کشتی,کشتی,True,athlete
ایوان مارکوویچ هافبک ذوب‌آهن در فوتبال فعالیت خود را با چه تیمی آغاز کرد؟,ستاره سرخ بلگراد,ستاره سرخ بلگراد,True,athlete
گلنوش خسروی در کدام شهر به متولد شده است؟,اصفهان,تهران,False,athlete
فرنوش شیخی در کدام رشته ورزشی فعالیت دارد؟,والیبال,تکواندو,False,athlete
سارا شیربیگی ورزشکار کدام رشته است؟,فوتسال,فوتسال,True,athlete
هاجر صفرزاده در کدام رقابت مدال گرفته است؟,پارالمپیک پاریس ۲۰۲۴,بازی‌های آسیایی ۲۰۱۸,False,athlete
مهدی تیکدری سالاری در کدام رشته فعال است؟,فوتبال,کشتی,False,athlete
شجاع خلیل‌زاده در کدام تیم‌ها بازی کرده است؟,پرسپولیس و الریان,پرسپولیس و الریان,True,athlete
مهدی خدابخشی در چه رشته‌ای فعالیت دارد؟,رزمی,کشتی,False,athlete
علی دایی در کدام تیم‌های اروپایی بازی کرده است؟,بایرن مونیخ و هرتابرلین,بایرن مونیخ و هرتابرلین,True,athlete
عباس زندی در کدام رشته ورزشی مدال‌های متعددی کسب کرده است؟,کشتی,کاراته,False,athlete
عزت‌الله اکبری در چه سالی متولد شده است؟,۱۳۷۱,۱۳۵۱,False,athlete
قد میربابک موسوی، ورزشکار والیبال چند است؟,۱٫۹۴,۱٫۹۴,True,athlete
کریم انصاری‌فرد در کدام کشور متولد شده است؟,ایران,ایران,True,athlete
کدام بازیگر در فیلم من و دبورا بازی کرده است؟,مریلا زارعی,مریلا زارعی,True,art_music
کدام فرد برای کارگردانی فیلم خوابم میآید سیمرغ بلورین دریافت کرده است؟,رضا عطاران,کامشاد کوشان,False,art_music
کدام فرد برای بازی در فیلم سنتوری جایزه بهترین بازیگر مرد را در جشنواره فجر دریافت کرده است؟,بهرام رادان,بهرام رادان,True,art_music
محسن تنابنده در چه سالی متولد شده است؟,1354,1354,True,art_music
کدام یک از آثار احمدشاملو است؟,ترانه شرقی,ترانه شرقی,True,poets
روزبه بمانی در چه حیطه ای فعالیت میکند؟,خوانندگی,خوانندگی,True,art_music
سهراب سپهری در کجا متولد شده است؟,قم,,False,poets
کدام شاعر معروف به نیمای غزل است؟,سیمین بهبهانی,سیمین بهبهانی,True,poets
شاعر معروف به تاج الشعرا در ابتدا در کجا دفن شد؟,مسجد جامع سامان,نجف,False,poets
کدام یک از آثار فروغ فرخزاد است؟,تولدی دیگر,تولدی دیگر,True,poets
