question,image_url,top1_name,top2_name,top3_name,identified_name,chosen_top,hit_at,pred_answer,evidence,raw_identify_text,raw_answer_text
این فرد کیست و در چه زمینه ای فعالیت داشته است؟,https://th.bing.com/th/id/R.160f7eae6c078d2470d8ddaf9ac63852?rik=PAp6KjqSKQI7DQ&pid=ImgRaw&r=0,نیما یوشیج,نیما یوشیج,نادر ابراهیمی,نیما یوشیج,top1,1,نیما یوشیج شاعر,نیما یوشیج، معروف به علی اسفندیاری و پدر شعر نو، در 21 آبان 1276 در یوش، استان مازندران، متولد شد. او به عنوان شاعر و نویسنده فعالیت می‌کرد و آثاری چون افسانه، ای شب، ققنوس، غراب و روجا از او به جا مانده است.,نیما یوشیج,"{
  ""predicted_option"": ""نیما یوشیج شاعر"",
  ""evidence"": ""نیما یوشیج، معروف به علی اسفندیاری و پدر شعر نو، در 21 آبان 1276 در یوش، استان مازندران، متولد شد. او به عنوان شاعر و نویسنده فعالیت می‌کرد و آثاری چون افسانه، ای شب، ققنوس، غراب و روجا از او به جا مانده است.""
}"
این چهره ی چه کسی است؟,https://th.bing.com/th/id/R.f19cd7c574fb1ceb37d0dd7557333735?rik=lLL0kQFoooPrMA&pid=ImgRaw&r=0,علی دایی,رسول خادم,علیرضا بیرانوند,علی دایی,top1,1,علی دایی,این تصویر متعلق به علی دایی است. این بیوگرافی برای اوست: علی دایی، ورزشکار فوتبال، در تاریخ 1 فروردین 1348 (56 سال) در اردبیل متولد شده است.,علی دایی,"{
  ""predicted_option"": ""علی دایی"",
  ""evidence"": ""این تصویر متعلق به علی دایی است. این بیوگرافی برای اوست: علی دایی، ورزشکار فوتبال، در تاریخ 1 فروردین 1348 (56 سال) در اردبیل متولد شده است.""
}"
این چهره ی چه کسی است؟,https://tse3.mm.bing.net/th/id/OIP.jYgq1FpWPqXFzJozqYAbaAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,آرین سلیمی,امیر معماری,علی رحیمی کازرونی,هیچ کدام,none,0,,,هیچ کدام,
این چهره ی چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.HWeitJoEEB6czPH9_vBFnAAAAA?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,امیر عابدزاده,احمدرضا عابدزاده,محمدجواد محمدی,امیر عابدزاده,top1,1,امیر عابدزاده، پرسپولیس,امیر عابدزاده، ورزشکار فوتبال، در تاریخ 6 اردیبهشت 1372 (32 سال) در تهران، ایران متولد شده است، در تیم‌های ... پرسپولیس ... بازی کرده است.,امیر عابدزاده,"{
  ""predicted_option"": ""امیر عابدزاده، پرسپولیس"",
  ""evidence"": ""امیر عابدزاده، ورزشکار فوتبال، در تاریخ 6 اردیبهشت 1372 (32 سال) در تهران، ایران متولد شده است، در تیم‌های ... پرسپولیس ... بازی کرده است.""
}"
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://th.bing.com/th/id/R.57c6d4b5dd95b0ab883305644766e509?rik=pe6okxuixqaihQ&pid=ImgRaw&r=0,رزیتا علی‌پور,الهه احمدی,حمیده عباسعلی,حمیده عباسعلی,top3,3,رزیتا علیپور، کاراته,این تصویر متعلق به حمیده عباسعلی است. حمیده عباسعلی، ورزشکار کاراته، در تاریخ 23 اسفند 1368 متولد شده است.,حمیده عباسعلی,"{
  ""predicted_option"": ""رزیتا علیپور، کاراته"",
  ""evidence"": ""این تصویر متعلق به حمیده عباسعلی است. حمیده عباسعلی، ورزشکار کاراته، در تاریخ 23 اسفند 1368 متولد شده است.""
}"
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://tse3.mm.bing.net/th/id/OIP.1SroD7i6k-t2T7z7T8ulsAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,حامد حدادی,وانه خچومیان,نیما عالمیان,حامد حدادی,top1,1,حامد حدادی ، بسکتبال,حامد حدادی، ورزشکار بسکتبال، در تاریخ 29 اردیبهشت 1364 (39 سال) در اهواز متولد شده است,حامد حدادی,"{
  ""predicted_option"": ""حامد حدادی ، بسکتبال"",
  ""evidence"": ""حامد حدادی، ورزشکار بسکتبال، در تاریخ 29 اردیبهشت 1364 (39 سال) در اهواز متولد شده است""
}"
این چهره ی چه کسی است و در کجا متولد شده است؟,https://tse1.mm.bing.net/th/id/OIP.nU_OzOvZ6YmVGsrnEwkJfAHaFk?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بهروز مکوندی,بهروز وثوقی,جاسم امیری,بهروز مکوندی,top1,1,بهروز مکوندی، مسجدسلیمان,بهروز مکوندی، ورزشکار فوتبال، در تاریخ 23 اوت 1963 (61 سال) در مسجدسلیمان، ایران متولد شده است,بهروز مکوندی,"{
  ""predicted_option"": ""بهروز مکوندی، مسجدسلیمان"",
  ""evidence"": ""بهروز مکوندی، ورزشکار فوتبال، در تاریخ 23 اوت 1963 (61 سال) در مسجدسلیمان، ایران متولد شده است""
}"
این فرد چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.99bDP9MqeM01dUFJwcS5JQHaGL?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,زهره کودایی,سعید صادقی,ساره جوانمردی,زهره کودایی,top1,1,زهره کودایی سپاهان,زهره کودایی، ورزشکار فوتبال، در تاریخ 3 آذر 1368 در سپاهان متولد شده است، در تیم‌های شهرداری بم، شهرداری سنندج، پاس همدان، سپاهان و ذوب‌آهن بازی کرده است.,زهره کودایی,"{
  ""predicted_option"": ""زهره کودایی سپاهان"",
  ""evidence"": ""زهره کودایی، ورزشکار فوتبال، در تاریخ 3 آذر 1368 در سپاهان متولد شده است، در تیم‌های شهرداری بم، شهرداری سنندج، پاس همدان، سپاهان و ذوب‌آهن بازی کرده است.""
}"
این فرد چه کسی است؟,https://th.bing.com/th/id/R.0041d3d9cef0a1d121c4a610b90e36cc?rik=e5XMOU%2bP0YtBKw&riu=http%3a%2f%2fwww.parvaresheafkar.com%2fwp-content%2fuploads%2f2018%2f07%2fReza-Yazdani-24.jpg&ehk=6pBqo35rfX9r5HqlOSJJk06OEYe57NejQEbzbs%2fMfiQ%3d&risl=&pid=ImgRaw&r=0&sres=1&sresct=1,رضا یزدانی,رضا یزدان‌دوست,حسین کریمی,هیچ کدام,none,0,,,هیچ کدام,
این فرد چه کسی است و در چه رشته ای بازی میکند؟,https://tse1.mm.bing.net/th/id/OIP.UnmNcdG5ULdYoUDye-VChAHaFG?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رضا حقیقی,رضا صفایی,ایمان شوریابی,رضا حقیقی,top1,1,رضا حقیقی فوتبال,رضا حقیقی، ورزشکار فوتبال، در تاریخ 12 بهمن 1367 (36 سال) در پیام خراسان متولد شده است,رضا حقیقی,"{
  ""predicted_option"": ""رضا حقیقی فوتبال"",
  ""evidence"": ""رضا حقیقی، ورزشکار فوتبال، در تاریخ 12 بهمن 1367 (36 سال) در پیام خراسان متولد شده است""
}"
