question,options,gold_answer,predicted_option,is_correct,target_name,evidence_ctx_idx,evidence_span,evidence_source_name,evidence_source_summary,ctx_names
حبیب‌الله بلور در کدام رشته ورزشی فعالیت داشت؟,"[""فوتبال"", ""کشتی"", ""وزنه‌برداری"", ""بسکتبال""]",کشتی,کشتی,1,حبیب‌الله بلور,,حبیب‌الله بلور، ... مربی کشتی، مدیر ورزشی و بازیگر سینمای ایرانی بود. ... بلور همچنین کتاب «فن و بند کشتی» را تالیف کرد.,,,"[""حبیب‌الله بلور"", ""حبیب‌الله بلور"", ""حبیب‌الله اخلاقی""]"
بهرنگ صفری در چه سالی متولد شده است؟,"[""۱۳۵۹"", ""۱۳۷۱"", ""۱۳۷۷"", ""۱۳۶۳""]",۱۳۶۳,۱۳۶۳,1,بهرنگ صفری,1,بهرنگ صفری، ورزشکار فوتبال، در تاریخ 20 بهمن 1363 (سن:40 سال) در تهران، ایران متولد شده است، قد ایشان 1، 84 متر است.,بهرنگ صفری,بهرنگ صفری، ورزشکار فوتبال، در تاریخ 20 بهمن 1363 (سن:40 سال) در تهران، ایران متولد شده است، قد ایشان 1، 84 متر است.,"[""بهرنگ صفری"", ""سعید صفری"", ""شکوفه صفری""]"
عبدالله موحد چند مدال جهانی کسب کرده است؟,"[""۴"", ""۳"", ""۵"", ""۲""]",۵,۵,1,عبدالله موحد,,او 5 مدال جهانی، 2 مدال منطقه‌ای، و یک مدال المپیک کسب کرده است. [1],,,"[""عبدالله موحد"", ""علی‌اکبر موسوی موحدی"", ""بهادر مولایی""]"
لوون کورکچیان مدال طلای خود را در کدام رقابت کسب کرده است؟,"[""المپیک ۱۹۵۲ هلسینکی"", ""بازی‌های آسیایی ۱۹۵۱ دهلی نو"", ""قهرمانی جهان ۱۹۵۴"", ""قهرمانی اروپا ۱۹۵۰""]",بازی‌های آسیایی ۱۹۵۱ دهلی نو,بازی‌های آسیایی ۱۹۵۱ دهلی نو,1,لوون کورکچیان,1,افتخار مدال طلا بازی‌های آسیایی 1951 دهلی‌نو را کسب کرده است.,لوون کورکچیان,لوون کورکچیان، ورزشکار وزنه‌برداری، در تاریخ 1314 در استان خارکف متولد شده است، افتخار مدال طلا بازی‌های آسیایی 1951 دهلی‌نو را کسب کرده است.,"[""لوون کورکچیان"", ""ساره جوانمردی"", ""علی اشکوریان""]"
علیرضا حقی در چه ماهی متولد شده است؟,"[""مارس ۱۹۸۲"", ""فوریهٔ ۱۹۷۹"", ""ژانویه ۱۹۸۸"", ""اکتبر ۱۹۶۹""]",فوریهٔ ۱۹۷۹,فوریهٔ ۱۹۷۹,1,علیرضا حقی,1,علیرضا حقی، ورزشکار دوچرخه‌سواری، در تاریخ 8 فوریه 1979 (در 46 سال) متولد شده است، قد ایشان 1، 80 متر است و وزن ایشان 76 کیلوگرم است.,علیرضا حقی,علیرضا حقی، ورزشکار دوچرخه‌سواری، در تاریخ 8 فوریه 1979 (در 46 سال) متولد شده است، قد ایشان 1، 80 متر است و وزن ایشان 76 کیلوگرم است.,"[""علیرضا حقی"", ""علیرضا محمدی"", ""علیرضا حقیقی""]"
زوونیمیر سولدو در کدام کشور متولد شده است؟,"[""کرواسی"", ""ایران"", ""آلمان"", ""لهستان""]",کرواسی,کرواسی,1,زوونیمیر سولدو,1,زوونیمیر سولدو، ورزشکار فوتبال، در تاریخ 2 نوامبر 1967 (57 سال) متولد شده است,زوونیمیر سولدو,زوونیمیر سولدو، ورزشکار فوتبال، در تاریخ 2 نوامبر 1967 (57 سال) متولد شده است، قد ایشان 1، 89 متر (6 فوت 21 ⁄ 2 اینچ) است، در تیم‌های دینامو زاگرب، NK Zadar، دینامو زاگرب و اشتوتگارت بازی کرده است.,"[""زوونیمیر سولدو"", ""آلمدین زیلیکیچ"", ""آندره رینالدو""]"
محراب شاهرخی در چه سالی درگذشته است؟,"[""۱۳۸۳"", ""۱۴۰۰"", ""۱۳۶۹"", ""۱۳۷۱""]",۱۳۷۱,۱۳۷۱,1,محراب شاهرخی,,محراب شاهرخی، ورزشکار فوتبال، در تاریخ 12 بهمن 1371 درگذشته است، قد ایشان - است.,,,"[""محراب شاهرخی"", ""ازرقی هروی"", ""سهراب سپهری""]"
وزن محمد جمشیدی چند کیلوگرم است؟,"[""۷۰"", ""۱۰۰"", ""۸۰"", ""۹۵""]",۸۰,,0,محمد جمشیدی,,نمی‌دانم,,,"[""محمد جمشیدی "", ""بهروز جمشیدی"", ""محمد شهریان""]"
مجتبی گلیج در کدام شهر متولد شده است؟,"[""رشت"", ""تهران"", ""تبریز"", ""تنکابن""]",تنکابن,تنکابن,1,مجتبی گلیج,,مجتبی گلیج، ورزشکار کشتی، در تاریخ 3 بهمن 1375 در تنکابن متولد شده است,,,"[""مجتبی گلیج"", ""مجتبی حق‌دوست"", ""محمدعلی زلفی‌گل""]"
قد ایمان موسوی چند است؟,"[""۱/۸۴"", ""۱/۶۵"", ""۱/۹۴"", ""۱/۷۲""]",۱/۸۴,۱/۸۴,1,ایمان موسوی,1,قد ایشان 1 / 84 است، در تیم سال‌های بازی کرده است.,ایمان موسوی,ایمان موسوی، ورزشکار فوتبال، در تاریخ 16 بهمن 1367 در فجرسپاسی متولد شده است، قد ایشان 1 / 84 است، در تیم سال‌های بازی کرده است.,"[""ایمان موسوی"", ""محمد موسوی"", ""احمد موسوی""]"
