question,image_url,correct_answer,answer_name,predicted_answer,is_correct,retrieval_success,category,retrieved_name_1,retrieved_score_1,retrieved_name_2,retrieved_score_2,retrieved_name_3,retrieved_score_3
این چهره ی چه کسی است؟,https://th.bing.com/th/id/R.f19cd7c574fb1ceb37d0dd7557333735?rik=lLL0kQFoooPrMA&pid=ImgRaw&r=0,علی دایی,علی دایی,فرشاد پیوس,False,False,athlete,فرشاد پیوس,0.7457565,وحید هاشمیان,0.6895135,رحمان محمدی‌راد,0.67970335
این چهره ی چه کسی است؟,https://tse3.mm.bing.net/th/id/OIP.jYgq1FpWPqXFzJozqYAbaAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,آرین سلیمی,آرین سلیمی,شیث رضایی,False,False,athlete,شیث رضایی,0.6601081,عاقل حبیبیان,0.5992877,ذبیح‌الله پورشیب,0.5788204
این چهره ی چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.HWeitJoEEB6czPH9_vBFnAAAAA?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,امیر عابدزاده، پرسپولیس,امیر عابدزاده,مهدی دغاغله، در تیم‌های استقلال اهواز، صنعت نفت آبادان، ←ملوان (قرضی)، ملوان، پرسپولیس، فولاد، سایپا، مس کرمان، فجرسپاسی,False,False,athlete,سعید آقاخانی,0.61758816,محمد بزم‌آور,0.6109824,مهدی دغاغله,0.59249616
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://th.bing.com/th/id/R.57c6d4b5dd95b0ab883305644766e509?rik=pe6okxuixqaihQ&pid=ImgRaw&r=0,رزیتا علیپور، کاراته,رزیتا علیپور,"صدیقه وسمقی، شاعر و نویسنده
    سهیلا رضوی، بازیگر
    سارا عبدالملکی، ورزشکار قایقرانی",False,False,athlete,صدیقه وسمقی,0.69095325,سهیلا رضوی,0.6367098,سارا عبدالملکی,0.63616616
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTki6HUgVMRWmY45IOq6J4UztzI5P7hMyfaTg&s,حامد حدادی ، بسکتبال,حامد حدادی,"/content/drive/MyDrive/project/images/athlete_images/2725_نوید_رضاییفر_image.jpg, ورزشکار بسکتبال",False,True,athlete,نوید رضایی‌فر,0.5937344,مسعود نظرزاده,0.5897296,حامد حدادی,0.57952267
این چهره ی چه کسی است و در کجا متولد شده است؟,https://tse1.mm.bing.net/th/id/OIP.nU_OzOvZ6YmVGsrnEwkJfAHaFk?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بهروز مکوندی، مسجدسلیمان,بهروز مکوندی,امیدرضا روانخواه، فیروزآباد,False,False,athlete,امیدرضا روانخواه,0.7185379,حمیدرضا استیلی,0.6991689,رضا نوروزی,0.6863479
این فرد چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.99bDP9MqeM01dUFJwcS5JQHaGL?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,زهره کودایی سپاهان,زهره کودایی,مهتاب کرامتی در فیلم «مردی از جنس بلور» بازی کرده است.,False,False,athlete,مهتاب کرامتی,0.65544283,باران کوثری,0.63971627,شهربانو امانی انگنه,0.6260331
این فرد چه کسی است؟,https://th.bing.com/th/id/R.0041d3d9cef0a1d121c4a610b90e36cc?rik=e5XMOU%2bP0YtBKw&riu=http%3a%2f%2fwww.parvaresheafkar.com%2fwp-content%2fuploads%2f2018%2f07%2fReza-Yazdani-24.jpg&ehk=6pBqo35rfX9r5HqlOSJJk06OEYe57NejQEbzbs%2fMfiQ%3d&risl=&pid=ImgRaw&r=0&sres=1&sresct=1,رضا یزدانی,رضا یزدانی,"علیرضا بهبودی
    رضا یزدانی
    علی ثمری",True,True,athlete,علیرضا بهبودی,0.56644374,رضا یزدانی ,0.5606605,علی ثمری,0.55028534
این فرد چه کسی است و در چه رشته ای بازی میکند؟,https://tse1.mm.bing.net/th/id/OIP.UnmNcdG5ULdYoUDye-VChAHaFG?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رضا حقیقی فوتبال,رضا حقیقی,"عاقل حبیبیان، قایقرانی
    احسان پیرهادی، فوتبال
    حمید اشرف، انقلابی و کمونیست",False,False,athlete,حمید اشرف,0.63502944,عاقل حبیبیان,0.6236672,احسان پیرهادی,0.6134538
این فرد چه کسی است و در کجا متولد شده است؟,https://th.bing.com/th/id/R.187bbebdf8a9c7f626a0337b6229ccec?rik=uKkLXodBbhlH9Q&pid=ImgRaw&r=0,فرشاد احمدزاده ارومیه,فرشاد احمدزاده,امیرحسین توخته، ارومیه، ایران,False,False,athlete,امیرحسین توخته,0.5327952,امین نظری,0.5125955,علیرضا بخت,0.5116084
فردی که در تصویر است چه کسی است در چه تیم هایی بازی کرده است؟,https://th.bing.com/th/id/R.70cd6788173c6370fe61bee178841b79?rik=vVEsG%2b4ek8FsVw&pid=ImgRaw&r=0&sres=1&sresct=1,علیرضا منصوریان بالستیر گیلانگ,علیرضا منصوریان,امیر جدیدی در فیلم‌های سینمایی مانند «قانون مورفی»، «تنگه ابوقریب»، «عرق سرد»، «من»، «هت‌تریک»، «اژدها وارد می‌شود!»، «سی,False,False,athlete,امیر جدیدی,0.65970135,اردشیر زاهدی,0.6494402,حبیب بهمنی,0.6446192
