question,input_image_url,top1_option,top1_score_img,top1_score_txt,top1_name,top2_option,top2_score_img,top2_score_txt,top2_name,top3_option,top3_score_img,top3_score_txt,top3_name
این چهره ی چه کسی است؟,https://th.bing.com/th/id/R.f19cd7c574fb1ceb37d0dd7557333735?rik=lLL0kQFoooPrMA&pid=ImgRaw&r=0,علی دایی,0.65364,0.864898,علی دایی,محمد خادم,0.542027,0.817867,رسول خادم,محسن بیرانوند,0.527944,0.827794,علیرضا بیرانوند
این چهره ی چه کسی است؟,https://tse3.mm.bing.net/th/id/OIP.jYgq1FpWPqXFzJozqYAbaAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,آرین سلیمی,0.589704,0.837438,آرین سلیمی,امیر یاوری,0.554233,0.806957,امیر معماری,آرین سلیمی,0.54044,0.806708,علی رحیمی کازرونی
این چهره ی چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.HWeitJoEEB6czPH9_vBFnAAAAA?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,امیر عابدزاده، پرسپولیس,0.699523,0.830735,امیر عابدزاده,امیر عابدزاده، پرسپولیس,0.567421,0.819411,احمدرضا عابدزاده,محمد محمدی، سایپا,0.559122,0.830939,محمدجواد محمدی
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://th.bing.com/th/id/R.57c6d4b5dd95b0ab883305644766e509?rik=pe6okxuixqaihQ&pid=ImgRaw&r=0,رزیتا علیپور، کاراته,0.607446,0.854937,رزیتا علی‌پور,الهه احمدی، تیراندازی,0.523908,0.856972,الهه احمدی,رزیتا علیپور، کاراته,0.519347,0.807476,حمیده عباسعلی
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://tse3.mm.bing.net/th/id/OIP.1SroD7i6k-t2T7z7T8ulsAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,حامد حدادی ، بسکتبال,0.836234,0.865947,حامد حدادی,نیما عالمیان ، شنا,0.546575,0.791568,وانه خچومیان,نیما عالمیان ، شنا,0.537011,0.81207,نیما عالمیان
این چهره ی چه کسی است و در کجا متولد شده است؟,https://tse1.mm.bing.net/th/id/OIP.nU_OzOvZ6YmVGsrnEwkJfAHaFk?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بهروز مکوندی، مسجدسلیمان,0.725635,0.882427,بهروز مکوندی,بهروز مکوندی، مسجدسلیمان,0.465829,0.790257,بهروز وثوقی,جاسم امیری، تهران,0.451002,0.824724,جاسم امیری
این فرد چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.99bDP9MqeM01dUFJwcS5JQHaGL?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,زهره کودایی سپاهان,0.646316,0.861916,زهره کودایی,بهاره قادریان پرسپولیس,0.625674,0.823799,سعید صادقی,زهره کودایی سپاهان,0.588092,0.816612,ساره جوانمردی
این فرد چه کسی است؟,https://th.bing.com/th/id/R.0041d3d9cef0a1d121c4a610b90e36cc?rik=e5XMOU%2bP0YtBKw&riu=http%3a%2f%2fwww.parvaresheafkar.com%2fwp-content%2fuploads%2f2018%2f07%2fReza-Yazdani-24.jpg&ehk=6pBqo35rfX9r5HqlOSJJk06OEYe57NejQEbzbs%2fMfiQ%3d&risl=&pid=ImgRaw&r=0&sres=1&sresct=1,رضا یزدانی,0.724311,0.875164,رضا یزدانی,رضا یزدانی,0.496019,0.853045,رضا یزدان‌دوست,حسین کریمی,0.448142,0.860326,حسین کریمی
این فرد چه کسی است و در چه رشته ای بازی میکند؟,https://tse1.mm.bing.net/th/id/OIP.UnmNcdG5ULdYoUDye-VChAHaFG?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رضا حقیقی فوتبال,0.759563,0.850401,رضا حقیقی,رضا حقیقی والیبال,0.569642,0.845846,رضا صفایی,ایرج سلیمانی فوتبال,0.561468,0.819584,ایمان شوریابی
این فرد چه کسی است و در کجا متولد شده است؟,https://th.bing.com/th/id/R.187bbebdf8a9c7f626a0337b6229ccec?rik=uKkLXodBbhlH9Q&pid=ImgRaw&r=0,فرشاد احمدزاده ارومیه,0.557478,0.823315,فرشاد احمدزاده,ارسلان مطهری گرمسار,0.487538,0.800484,ایمان شوریابی,سینا عشوری اصفهان,0.465279,0.804723,سینا خادم‌پور
